,Class,Family
GH29,GH,GH29
GH27,GH,GH27
GH31,GH,GH31
GH2,GH,GH2
GH130,GH,GH130
GH36,GH,GH36
GH110,GH,GH110
GH35,GH,GH35
GH84,GH,GH84
GH67,GH,GH67
GH42,GH,GH42
GH95,GH,GH95
GH20,GH,GH20
GH112,GH,GH112
GH4,GH,GH4
GH3,GH,GH3
GH38,GH,GH38
GH101,GH,GH101
GH16,GH,GH16
3.1.1.2:,3.,3.1.1.2:
3.1.6.3:,3.,3.1.6.3:
3.1.6.4:,3.,3.1.6.4:
3.1.6.8:,3.,3.1.6.8:
3.1.6.14:,3.,3.1.6.14:
4.1.3.3:,4.,4.1.3.3:
