Metabolism,40632
Metabolism: Carbohydrate metabolism,11412
Metabolism: NRG metabolism,3944
Metabolism: Lipid metabolism,2325
Metabolism: Nucleotide metabolism,4291
Metabolism: AA metabolism,7060
Metabolism: Other AA metabolism,1285
Metabolism: Glycan,2333
Metabolism: Cofactors and vitamins,4148
Metabolism: Terpenoids and polyketides,1075
Metabolism: 2dary metabolites,1901
Metabolism: Xenobiotics,856
Metabolism: Enzyme families,2
Genetic Information Processing,8871
Genetic Information Processing: Transcription,173
Genetic Information Processing: Tranlation,3877
Genetic Information Processing: Fold sort degr,1568
Genetic Information Processing: Replication and repair,3253
Environ Info Process,5022
Environ Info Process: Membrane transport,2265
Environ Info Process: Signal transduction,2747
Environ Info Process: Signal molec and interact,10
Other,9529
