Metabolism,69825
Metabolism: Carbohydrate metabolism,20373
Metabolism: NRG metabolism,7148
Metabolism: Lipid metabolism,3657
Metabolism: Nucleotide metabolism,8119
Metabolism: AA metabolism,11853
Metabolism: Other AA metabolism,2286
Metabolism: Glycan,3807
Metabolism: Cofactors and vitamins,6502
Metabolism: Terpenoids and polyketides,1671
Metabolism: 2dary metabolites,3007
Metabolism: Xenobiotics,1397
Metabolism: Enzyme families,5
Genetic Information Processing,16375
Genetic Information Processing: Transcription,560
Genetic Information Processing: Tranlation,6433
Genetic Information Processing: Fold sort degr,2803
Genetic Information Processing: Replication and repair,6579
Environ Info Process,8393
Environ Info Process: Membrane transport,4171
Environ Info Process: Signal transduction,4200
Environ Info Process: Signal molec and interact,22
Other,16136
