Metabolism,46761
Metabolism: Carbohydrate metabolism,13565
Metabolism: NRG metabolism,4500
Metabolism: Lipid metabolism,2706
Metabolism: Nucleotide metabolism,5030
Metabolism: AA metabolism,8125
Metabolism: Other AA metabolism,1501
Metabolism: Glycan,2381
Metabolism: Cofactors and vitamins,4484
Metabolism: Terpenoids and polyketides,1200
Metabolism: 2dary metabolites,2276
Metabolism: Xenobiotics,990
Metabolism: Enzyme families,3
Genetic Information Processing,11439
Genetic Information Processing: Transcription,337
Genetic Information Processing: Tranlation,5032
Genetic Information Processing: Fold sort degr,2031
Genetic Information Processing: Replication and repair,4039
Environ Info Process,8228
Environ Info Process: Membrane transport,3492
Environ Info Process: Signal transduction,4724
Environ Info Process: Signal molec and interact,12
Other,18099
