Metabolism,50113
Metabolism: Carbohydrate metabolism,15123
Metabolism: NRG metabolism,5012
Metabolism: Lipid metabolism,2868
Metabolism: Nucleotide metabolism,4985
Metabolism: AA metabolism,8752
Metabolism: Other AA metabolism,1568
Metabolism: Glycan,2444
Metabolism: Cofactors and vitamins,4755
Metabolism: Terpenoids and polyketides,1230
Metabolism: 2dary metabolites,2290
Metabolism: Xenobiotics,1081
Metabolism: Enzyme families,5
Genetic Information Processing,10461
Genetic Information Processing: Transcription,210
Genetic Information Processing: Tranlation,4594
Genetic Information Processing: Fold sort degr,1851
Genetic Information Processing: Replication and repair,3806
Environ Info Process,7698
Environ Info Process: Membrane transport,4230
Environ Info Process: Signal transduction,3455
Environ Info Process: Signal molec and interact,13
Other,11571
