Metabolism,58484
Metabolism: Carbohydrate metabolism,17154
Metabolism: NRG metabolism,5750
Metabolism: Lipid metabolism,3318
Metabolism: Nucleotide metabolism,6157
Metabolism: AA metabolism,10358
Metabolism: Other AA metabolism,1841
Metabolism: Glycan,2700
Metabolism: Cofactors and vitamins,5528
Metabolism: Terpenoids and polyketides,1621
Metabolism: 2dary metabolites,2796
Metabolism: Xenobiotics,1257
Metabolism: Enzyme families,4
Genetic Information Processing,13340
Genetic Information Processing: Transcription,271
Genetic Information Processing: Tranlation,6053
Genetic Information Processing: Fold sort degr,2195
Genetic Information Processing: Replication and repair,4821
Environ Info Process,8774
Environ Info Process: Membrane transport,4206
Environ Info Process: Signal transduction,4551
Environ Info Process: Signal molec and interact,17
Other,15333
