Category1,Category2,Pathway,KOID
Cellular Processes,Transport and Catabolism,Peroxisome,K00031
Cellular Processes,Transport and Catabolism,Peroxisome,K00106
Cellular Processes,Transport and Catabolism,Peroxisome,K00232
Cellular Processes,Transport and Catabolism,Peroxisome,K00272
Cellular Processes,Transport and Catabolism,Peroxisome,K00273
Cellular Processes,Transport and Catabolism,Peroxisome,K00306
Cellular Processes,Transport and Catabolism,Peroxisome,K00308
Cellular Processes,Cell Growth and Death,Ferroptosis,K00460
Cellular Processes,Transport and Catabolism,Peroxisome,K00477
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K00494
Cellular Processes,Cell Growth and Death,Ferroptosis,K00510
Cellular Processes,Cell Growth and Death,Ferroptosis,K00522
Cellular Processes,Cell Motility,Bacterial Chemotaxis,K00575
Cellular Processes,Transport and Catabolism,Peroxisome,K00624
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Vibrio cholerae,K00640
Cellular Processes,Transport and Catabolism,Peroxisome,K00649
Cellular Processes,Transport and Catabolism,Autophagy - Yeast,K00654
Cellular Processes,Cell Growth and Death,Ferroptosis,K00657
Cellular Processes,Transport and Catabolism,Peroxisome,K00659
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Escherichia coli,K00688
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Escherichia coli,K00694
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Escherichia coli,K00703
Cellular Processes,Transport and Catabolism,Peroxisome,K00803
Cellular Processes,Transport and Catabolism,Peroxisome,K00830
Cellular Processes,Transport and Catabolism,Peroxisome,K00869
Cellular Processes,Transport and Catabolism,Endocytosis,K00889
Cellular Processes,Transport and Catabolism,Mitophagy - Yeast,K00889
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K00889
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K00907
Cellular Processes,Transport and Catabolism,Endocytosis,K00909
Cellular Processes,Transport and Catabolism,Endocytosis,K00910
Cellular Processes,Transport and Catabolism,Phagosome,K00914
Cellular Processes,Transport and Catabolism,Autophagy - Yeast,K00914
Cellular Processes,Transport and Catabolism,Autophagy - Other,K00914
Cellular Processes,Transport and Catabolism,Autophagy - Yeast,K00915
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K00920
Cellular Processes,Transport and Catabolism,Phagosome,K00921
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K00921
Cellular Processes,Cell Growth and Death,Apoptosis,K00922
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K00922
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Escherichia coli,K00975
Cellular Processes,Transport and Catabolism,Lysosome,K01052
Cellular Processes,Transport and Catabolism,Lysosome,K01074
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01114
Cellular Processes,Transport and Catabolism,Endocytosis,K01115
Cellular Processes,Transport and Catabolism,Lysosome,K01125
Cellular Processes,Transport and Catabolism,Lysosome,K01132
Cellular Processes,Transport and Catabolism,Lysosome,K01134
Cellular Processes,Transport and Catabolism,Lysosome,K01135
Cellular Processes,Transport and Catabolism,Lysosome,K01136
Cellular Processes,Transport and Catabolism,Lysosome,K01137
Cellular Processes,Transport and Catabolism,Lysosome,K01158
Cellular Processes,Cell Growth and Death,Apoptosis,K01173
Cellular Processes,Transport and Catabolism,Lysosome,K01186
Cellular Processes,Transport and Catabolism,Lysosome,K01189
Cellular Processes,Transport and Catabolism,Lysosome,K01192
Cellular Processes,Transport and Catabolism,Lysosome,K01195
Cellular Processes,Transport and Catabolism,Lysosome,K01197
Cellular Processes,Transport and Catabolism,Lysosome,K01201
Cellular Processes,Transport and Catabolism,Lysosome,K01202
Cellular Processes,Transport and Catabolism,Lysosome,K01204
Cellular Processes,Transport and Catabolism,Lysosome,K01205
Cellular Processes,Transport and Catabolism,Lysosome,K01206
Cellular Processes,Transport and Catabolism,Lysosome,K01217
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01218
Cellular Processes,Transport and Catabolism,Lysosome,K01275
Cellular Processes,Cell Growth and Death,Apoptosis,K01275
Cellular Processes,Transport and Catabolism,Lysosome,K01279
Cellular Processes,Cell Motility,Regulation of Actin Cytoskeleton,K01313
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01318
Cellular Processes,Transport and Catabolism,Lysosome,K01319
Cellular Processes,Transport and Catabolism,Phagosome,K01330
Cellular Processes,Transport and Catabolism,Autophagy - Yeast,K01336
Cellular Processes,Cell Growth and Death,Apoptosis,K01353
Cellular Processes,Transport and Catabolism,Lysosome,K01363
Cellular Processes,Cell Growth and Death,Apoptosis,K01363
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01364
Cellular Processes,Transport and Catabolism,Phagosome,K01365
Cellular Processes,Transport and Catabolism,Lysosome,K01365
Cellular Processes,Cell Growth and Death,Apoptosis,K01365
Cellular Processes,Transport and Catabolism,Lysosome,K01366
Cellular Processes,Cell Growth and Death,Apoptosis,K01366
Cellular Processes,Cell Growth and Death,Apoptosis,K01367
Cellular Processes,Transport and Catabolism,Phagosome,K01368
Cellular Processes,Transport and Catabolism,Lysosome,K01368
Cellular Processes,Cell Growth and Death,Apoptosis,K01368
Cellular Processes,Transport and Catabolism,Lysosome,K01369
Cellular Processes,Transport and Catabolism,Lysosome,K01371
Cellular Processes,Cell Growth and Death,Apoptosis,K01371
Cellular Processes,Transport and Catabolism,Lysosome,K01373
Cellular Processes,Cell Growth and Death,Apoptosis,K01373
Cellular Processes,Transport and Catabolism,Lysosome,K01374
Cellular Processes,Cell Growth and Death,Apoptosis,K01374
Cellular Processes,Transport and Catabolism,Lysosome,K01375
Cellular Processes,Cell Growth and Death,Apoptosis,K01375
Cellular Processes,Transport and Catabolism,Lysosome,K01379
Cellular Processes,Cell Growth and Death,Apoptosis,K01379
Cellular Processes,Transport and Catabolism,Autophagy - Yeast,K01381
Cellular Processes,Transport and Catabolism,Lysosome,K01382
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01399
Cellular Processes,Transport and Catabolism,Lysosome,K01444
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01497
Cellular Processes,Transport and Catabolism,Endocytosis,K01528
Cellular Processes,Transport and Catabolism,Lysosome,K01565
Cellular Processes,Transport and Catabolism,Peroxisome,K01578
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01580
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01626
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01635
Cellular Processes,Transport and Catabolism,Peroxisome,K01640
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01657
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Pseudomonas aeruginosa,K01657
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01658
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Pseudomonas aeruginosa,K01658
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01728
Cellular Processes,Cell Growth and Death,Meiosis - Yeast,K01768
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Pseudomonas aeruginosa,K01768
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Vibrio cholerae,K01791
Cellular Processes,Transport and Catabolism,Peroxisome,K01796
Cellular Processes,Transport and Catabolism,Peroxisome,K01897
Cellular Processes,Cell Growth and Death,Ferroptosis,K01897
Cellular Processes,Cellular Community - Prokaryotes,Quorum Sensing,K01897
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Vibrio cholerae,K01912
Cellular Processes,Cellular Community - Prokaryotes,Biofilm Formation - Escherichia coli,K01991
