Squirrel,Season,Total,CarbMet,FAMet,NRGMet,LipMet,NucMet,AAMet,GlycMet,CofVitMet,TerPolMet,SecMet,Xen,Met_Tot,Transcription,Translation,FoldSortDegr,RepRep,GeneticInfo_Tot,MemTrans,SigTransd,SigMol,EnvironInfoProc_Tot,Other_Tot
3715,Summer,55635,8986,697,3006,1908,3143,6393,1932,3263,754,1545,608,31538,270,3023,1373,2298,6964,1557,3205,8,4770,12363
3717,Summer,94420,16251,1296,5886,11162,3291,5734,1484,2783,1484,2783,1166,52024,341,5770,2304,4619,13034,3332,4464,20,7816,21546
3723,Winter,65496,11656,893,4009,2400,4403,8532,2356,4230,1100,1962,884,41532,175,3915,1585,3347,9022,2336,2834,10,5180,9762
3733,Winter,69498,12289,932,4417,2508,4779,8785,2647,4592,1159,2025,886,44087,205,4408,1696,3622,9931,2710,2756,16,5482,9998
3734,Spring,96182,17190,1242,5759,3295,6131,12194,2739,5517,1619,2796,1264,58504,278,6029,2207,4838,13352,4178,4573,17,8768,15558
3744,Summer,88520,15691,1164,5400,3244,6003,11300,2909,5539,1425,2613,1136,55260,254,5607,2137,4743,12741,3602,3750,18,7370,13149
3772,Winter,55314,9433,743,3430,2022,3803,6745,2121,3510,883,1542,767,34256,187,3799,1389,3010,8385,1932,2280,14,4226,8447
3773,Spring,86565,13767,971,4578,2716,5106,9721,2395,4480,1216,2306,1002,47287,368,5093,2091,4122,11674,3525,4972,12,8509,19095
3775,Spring,81286,15382,1048,5103,2917,5054,10452,2496,4881,1244,2296,1110,50935,218,4679,1913,3823,10633,4311,3511,15,7837,11881
