3715,3717,3723,3733,3734,3744,3772,3773,3775
3.2.1.26,3.2.1.26,3.2.1.26,2.4.1.99,3.2.1.26,2.4.1.99,3.2.1.80,3.2.1.7,3.2.1.26
3.2.1.65,3.2.1.65,3.2.1.80,2.4.1.100,3.2.1.80,2.4.1.100,,3.2.1.26,3.2.1.65
3.2.1.80,3.2.1.80,,2.4.1.243,3.2.1.153,2.4.1.243,,3.2.1.65,3.2.1.80
,,,3.2.1.7,,3.2.1.26,,3.2.1.80,3.2.1.153
,,,3.2.1.26,,3.2.1.65,,3.2.1.153,
,,,3.2.1.65,,3.2.1.80,,,
,,,3.2.1.80,,,,,
