Sample,Archaea,Bacteria,Eukaryota,Viruses,N_A,Unclassified,Total_Unclassified,Total_Classified,Total_Sequences,Season,Diet,Sex
3715,780,7224290,14591,214,1156,4513932,4515088,7239875,11754963,Summer,Feeding,Female
3717,1882,7316114,11542,1625,2140,7509269,7511409,7331163,14842572,Summer,Feeding,Female
3723,1385,5992146,1851,695,1772,5339635,5341407,5996077,11337484,Winter,Fasting,Male
3733,1739,5956097,1026,554,1788,5783113,5784901,5959416,11744317,Winter,Fasting,Female
3734,2543,7215045,3642,1035,2152,8805510,8807662,7222265,16029927,Spring,Feeding,Male
3744,1616,5496942,2713,7926,1373,6257618,6258991,5509197,11768188,Summer,Feeding,Male
3772,1669,5737028,3982,340,1765,4866696,4868461,5743019,10611480,Winter,Fasting,Male
3773,1856,5313900,19716,415,1448,7158515,7159963,5335887,12495850,Spring,Feeding,Female
3775,2475,6036909,4980,1146,1554,6927415,6928969,6045510,12974479,Spring,Feeding,Male
