"","X3715","X3717","X3723","X3733","X3734","X3744","X3772","X3773","X3775"
"GH29_3.2.1.51",19.3722979737097,17.1664579834308,17.9788204337989,18.2013348523349,12.0741120582675,14.8778248482719,21.9613601474678,16.8718131027107,14.8508477264906
"GH27_3.2.1.22",7.97682857740987,6.0082602942008,3.78501482816818,5.05592634787079,4.02470401942249,8.26545824903994,3.37867079191812,5.62393770090357,3.96022606039749
"GH31_3.2.1.20",23.9304857322296,15.4498121850878,17.0325667267568,9.10066742616743,15.2938752738055,18.1840081478879,15.2040185636316,15.9344901525601,16.8309607566893
"GH2_3.2.1.23",70.6519102570588,81.5406754212965,61.506490957733,72.8053394093394,80.4940803884498,71.0829409417435,72.6414220262397,70.2992212612947,68.3138995418567
"GH130_2.4.1.320",21.6513918529696,30.041301471004,23.6563426760511,28.3131875480764,54.7359746641458,28.9291038716398,30.4080371272631,31.8689803051203,34.651978028478
"GH36_3.2.1.22",60.395987800389,65.2325403370372,41.63516310985,48.5368929395596,94.9830148583707,66.1236659923196,52.3693972747309,81.5470966631018,97.0255384797385
"GH130_2.4.1.281",23.9304857322296,34.3329159668617,30.2801186253455,37.4138549742439,50.7112706447234,38.8476537704877,25.3400309393859,33.7436262054214,41.5823736341736
"GH110_3.2.1.22",15.9536571548197,14.5914892859162,16.0863130197148,24.2684464697798,8.04940803884498,12.3981873735599,35.4760433151403,12.1851983519577,13.8607912113912
"GH35_3.2.1.23",15.9536571548197,22.3163953784601,15.1400593126727,15.1677790436124,13.6839936660365,12.3981873735599,18.5826893555497,15.9344901525601,12.8707346962918
"GH84_3.2.1.169",15.9536571548197,13.7331663867447,19.871327847883,30.3355580872248,9.65928964661397,10.7450957237519,33.7867079191812,14.0598442522589,7.92045212079498
"GH67_3.2.1.139",10.2559224566698,12.8748434875731,8.51628336337841,5.05592634787079,10.4642304504985,13.2247331984639,1.68933539595906,12.1851983519577,8.91050863589435
"GH42_3.2.1.23",5.69773469814991,19.7414266809455,11.3550444845045,5.05592634787079,20.9284609009969,17.3574623229839,10.1360123757544,18.7464590030119,22.7712998472856
"GH95_3.2.1.51",11.3954693962998,4.29161449585771,13.2475518985886,10.1118526957416,4.82964482330699,11.5716415486559,15.2040185636316,6.56126065105417,6.93039560569561
"GH20_3.2.1.52",1.13954693962998,3.43329159668617,0.946253707042045,0,1.609881607769,4.13272912451997,1.68933539595906,2.81196885045179,5.94033909059624
"GH112_2.4.1.211",14.8141102151898,12.8748434875731,33.1188797464716,28.3131875480764,41.8569218019939,20.6636456225999,15.2040185636316,27.1823655543673,52.4729953002668
"GH4_3.2.1.22",1.13954693962998,3.43329159668617,2.83876112112614,3.03355580872248,7.24446723496048,0.826545824903995,0,4.68661475075298,8.91050863589435
"GH3_3.2.1.52",1.13954693962998,0.858322899171543,0,1.01118526957416,0,0.826545824903995,1.68933539595906,0.937322950150596,0
"GH2_3.2.1.25",2.27909387925996,2.57496869751463,3.78501482816818,6.06711161744495,1.609881607769,1.65309164980799,5.06800618787719,2.81196885045179,3.96022606039749
"GH38_3.2.1.24",0,0.858322899171543,2.83876112112614,2.02237053914832,0.804940803884498,1.65309164980799,3.37867079191812,3.74929180060238,1.98011303019875
"GH101_3.2.1.97",0,0,0.946253707042045,0,0,0,0,0,2.97016954529812
"4.1.3.3",1.13954693962998,3.43329159668617,1.89250741408409,2.02237053914832,2.41482241165349,4.13272912451997,3.37867079191812,1.87464590030119,1.98011303019875
