"","X3715","X3717","X3723","X3733","X3734","X3744","X3772","X3773","X3775"
"A",1.36962417667571,0.534020618556701,0.0348779272546088,0.00746746319607425,0.0737981445037954,0.0125740973594396,0.238407126015195,1.48438804474871,0.138797091870456
"B",1.85780705153041,0.7,0.122072745391131,0.141881800725411,0.196795052010121,0.194898509071313,0.339271679329316,1.36166304892303,0.370125578321216
"C",100.253777605579,87.5360824742268,96.8211260587942,94.9338596116919,86.5652235029519,83.5108676127178,84.2769190463715,81.1504424778761,107.243886318572
"D",26.4839209608679,25.1927835051546,27.5099651220727,23.5598463836143,28.1220129322463,24.6326567271421,23.2263557767881,27.8527300050092,27.3507380480282
"E",142.413793103448,128.136082474227,145.589187842551,140.104544484745,144.718161371943,130.13562062152,119.487817657846,125.921689764568,178.724388631857
"F",59.9108872530027,54.9752577319588,58.0630293971101,57.4695967569874,58.7679224065223,55.7472606430753,51.6334817919832,53.8061445984304,64.517514871117
"G",152.652072839985,149.872164948454,149.207772795217,141.329208448901,163.885999437728,148.324052451949,120.927429918784,149.794623476373,210.979290592642
"H",75.4513754358776,66.0164948453608,72.1537120079721,69.7759761041178,65.7492268765814,64.0650260463445,62.6277181032224,59.5566872599766,78.2275831680987
"I",48.3979077876792,44.4247422680412,47.4950174389636,43.6846596970344,44.1116109080686,43.3114783545895,41.5561959654179,41.0310569377191,49.4965851509143
"J",143.60712901976,137.885567010309,143.077977080219,138.663324087903,141.033174023053,138.384228489312,135.837044799581,136.160460844882,145.096937651465
"K",126.398682681131,128.727835051546,138.578724464375,123.631320674205,148.280151813326,127.853421950781,106.522137804559,127.137251627985,169.702577660278
"L",140.284773343665,132.357731958763,151.230692575984,135.108811606571,157.977228001125,137.258846775642,128.373067854336,138.468859575889,146.615994712492
"M",150.319643549012,143.088659793814,154.962630792227,143.203541711116,143.611189204386,134.511406502605,132.847786219544,124.086658874603,145.382242784754
"N",8.20418442464161,15.7175257731959,19.304932735426,12.8141668444634,28.5205229125668,13.1525058379738,14.3777835996856,12.9211888462181,10.9418374091209
"O",68.6981790003875,60.0340206185567,58.1502242152466,57.1484958395562,55.9143941523756,54.7036105622418,56.0348441184176,58.9489063282685,60.0374531835206
"P",79.0178225493994,67.2,72.9471848530145,72.411990612332,65.2424796176553,64.6308604275193,65.7820277705004,60.7254967440307,85.9231108173606
"Q",18.1305695466873,16.2371134020619,17.6831091180867,16.2267975250693,16.2405116671352,15.8873720136519,14.9187843856432,14.7679078310236,20.1178673716678
"R",219.234792716002,203.036082474227,211.36023916293,199.067633880947,205.011245431543,194.697323513562,181.85878962536,199.106695608616,243.095395461555
"S",94.9922510654785,98.9742268041237,106.543348281016,98.0701941540431,106.264408209165,98.1534039877852,89.3935027508514,90.3022207380197,120.714915179555
"T",75.6412243316545,76.6103092783505,81.9718485301444,69.8207808832942,95.647315153219,75.1805281120891,59.8860361540477,75.0667891133745,95.6389072482926
"U",37.9426578845409,35.3896907216495,36.3776781265571,33.9246852997653,34.9754006184987,29.9955092509431,35.1008645533141,31.7273334446485,31.2987442167878
"V",51.5846571096474,52.0958762886598,53.4678624813154,50.5099210582462,60.6571549058195,51.9247350458057,44.9672517684045,50.0951744865587,65.4196959682749
"W",0.0542425416505231,0.0288659793814433,0.0174389636273044,0.0224023895882227,0.0147596289007591,0.0188611460391593,0.0275085145402148,0.011688094840541,0
"Y",0.162727624951569,0.0505154639175258,0,0,0,0,0.0183390096934766,0.151945232927033,0.0154218990967173
"Z",4.65129794653235,1.75360824742268,1.54334828101644,0.291231064646896,1.37756536407084,1.03107598347404,1.18286612522924,3.38370345633662,1.27230667547918
