Length,Frequency
11150,1
111180,1
11561,1
42675,1
2360,1
2770,1
11522,1
21149,1
2320,1
6420,1
6461,1
19313,1
2321,1
2322,1
2363,1
6053,1
6094,1
6463,1
2734,1
11158,1
11978,1
2366,1
2735,1
2326,1
6016,1
11939,1
2737,1
2778,1
6099,1
6427,1
2369,1
2738,2
2779,1
22693,1
2739,1
22243,1
3090,1
16763,1
99204,1
3051,1
3420,1
3461,1
3830,1
7110,1
7192,1
3052,1
60713,1
3012,1
3874,1
3014,1
3096,1
3015,1
7115,1
7156,1
3057,1
7526,1
37067,1
3837,1
7568,1
201342,1
27484,1
4190,1
490,9
4150,1
450,8
491,7
860,1
4520,1
410,11
451,11
492,6
820,1
861,3
411,9
452,14
493,8
821,2
862,3
8622,1
13766,1
86252,1
17497,1
412,14
453,10
494,10
822,2
863,1
4113,1
4154,1
4195,1
8213,1
8295,1
17047,1
413,10
454,6
495,7
8665,1
414,10
455,8
496,3
824,2
865,3
4197,1
4525,1
13318,1
13728,1
415,8
456,5
497,9
825,2
4116,1
4567,1
4936,1
416,10
457,12
498,5
826,2
867,2
417,9
458,8
499,7
868,2
4528,1
8259,1
82158,1
82568,1
418,10
459,7
828,2
869,2
419,11
10761,1
24857,1
1190,1
5290,1
10352,1
66272,1
14862,1
20758,1
1150,1
1191,2
62501,1
1192,1
1520,1
1561,2
1971,1
5620,1
18144,1
1111,1
1152,2
1931,1
10396,1
1112,1
1194,1
1522,1
1563,2
5663,1
1113,1
1154,1
1195,1
1523,1
1564,1
1933,1
1974,2
5623,1
1114,2
1155,1
1196,2
1524,1
1565,2
1975,1
5665,1
1115,1
1156,1
1197,1
1935,1
31066,1
1116,1
1157,1
1198,2
1526,1
1567,1
1977,1
9316,1
1117,3
1527,1
1568,2
1978,1
21031,1
1118,1
1159,1
1528,1
1938,1
21484,1
52147,1
25178,1
6390,1
2250,1
11002,1
11863,1
2252,1
6352,1
2622,2
2295,1
2664,1
2214,1
2255,2
2665,1
6355,1
6397,1
15559,1
2257,1
2298,1
6316,2
6398,1
2219,1
2629,1
26603,1
26688,1
7080,1
16693,1
3350,1
7491,1
3394,1
7084,1
3313,1
3354,1
3764,1
3724,1
7045,1
16248,1
3315,1
3357,1
3398,1
3317,1
3359,1
7008,1
23687,1
4490,1
380,15
790,2
8181,1
17384,1
340,13
381,10
750,2
791,2
4082,1
300,1
341,13
382,9
710,2
751,3
792,2
4042,1
8511,1
301,3
342,11
383,12
711,1
752,2
793,2
4043,1
13205,1
69166,1
302,4
343,11
384,9
712,2
753,3
794,1
303,2
344,10
385,6
713,3
754,3
795,2
30634,1
304,2
345,13
386,12
714,1
755,1
4497,1
305,3
346,14
387,7
715,4
756,3
797,2
4867,1
8598,1
306,3
347,17
388,8
716,3
757,2
798,4
4827,1
307,2
348,9
389,9
717,2
758,3
799,2
4049,1
308,4
349,15
718,3
759,1
309,1
719,3
1080,1
1490,1
10652,1
1040,1
1491,1
1860,1
5181,1
39560,1
66983,1
1000,2
1041,1
1082,1
1410,1
1861,1
5100,1
1001,2
1042,1
1083,2
1411,1
1493,1
1821,1
1862,1
5593,1
10204,1
49107,1
41317,1
1002,1
1043,2
1084,1
1412,1
1453,1
9694,1
10615,1
31363,1
1003,2
1044,1
1085,3
1454,1
1495,1
5554,1
5923,1
31733,1
1004,1
1045,1
1086,3
1455,1
1865,1
5145,1
5965,1
1005,1
1046,1
1087,1
1456,1
1497,1
5925,1
1006,1
1047,1
1088,1
1457,2
1826,1
5106,1
5557,1
1048,2
1089,1
1417,1
1499,1
1827,1
21700,1
1008,2
1049,1
1459,1
1869,1
15481,1
29536,1
2590,1
6690,1
29907,1
2140,1
2591,1
6650,1
2100,1
2551,1
6282,1
2512,1
2922,1
2103,1
15898,1
2145,1
2186,1
2514,1
2965,1
2146,1
2966,1
11349,1
2188,1
2557,1
2598,1
6616,1
6698,1
11719,1
2107,1
2517,1
6248,1
2149,1
2969,1
6249,1
47280,1
22022,1
2109,1
2929,1
3690,1
3240,1
3650,1
3691,1
3241,1
3651,1
43516,1
3611,1
7342,1
7752,1
3243,1
3694,1
33932,1
12406,1
3287,1
3206,1
3698,1
60949,1
3248,1
3617,1
3658,1
7307,1
27221,1
50505,1
23944,1
13170,1
17601,1
270,3
680,3
4340,1
8481,1
230,4
271,5
681,2
4382,1
13954,1
169453,1
231,6
272,4
600,5
641,4
682,2
38393,1
232,5
273,4
601,4
642,6
683,4
92338,1
233,12
274,1
602,4
643,4
684,4
234,3
275,5
603,2
644,2
685,4
4304,1
4345,1
8076,1
235,3
276,2
604,4
645,3
686,3
4387,1
103542,1
236,8
277,3
605,4
646,1
687,5
4798,1
237,4
278,2
606,3
647,5
688,2
4389,1
30117,1
238,6
279,5
607,5
648,3
689,1
4308,1
4759,1
239,6
608,4
649,3
609,3
59478,1
24634,1
45302,1
10500,1
1790,1
18701,1
1340,2
1381,1
1750,1
5481,1
31660,1
45715,1
18333,1
1300,1
1751,1
1792,1
5810,1
9131,1
10544,1
1342,1
1383,1
1752,1
5893,1
1302,1
1384,2
1712,1
1753,1
49408,1
1303,1
1344,1
1795,1
9503,1
1304,1
1386,1
5076,1
9955,1
1305,1
1346,1
1797,1
5036,1
5446,1
1306,1
1347,1
1388,1
1716,1
5078,1
5898,1
1307,1
1348,1
1717,1
1758,1
5039,1
5818,1
56804,1
35729,1
39419,1
29875,1
2480,1
11601,1
29059,1
15701,1
42386,1
21269,1
2030,1
2071,1
2440,1
2481,1
2850,1
6130,1
2441,1
2810,1
2892,1
11685,1
63464,1
2074,2
2812,1
2853,1
6174,1
2895,1
2035,1
2445,1
2896,1
26090,1
2036,1
2077,2
2446,1
2487,1
2856,1
32725,1
