Length,Frequency
25289,1
6092,1
6010,1
11195,1
2321,1
2731,1
2363,1
2773,1
2364,1
2324,2
2734,1
2775,1
2325,1
2367,3
2777,1
2327,1
2778,1
6878,1
2328,1
2369,2
2738,1
2779,1
3090,2
3091,1
3460,1
3051,1
7151,1
3052,2
3872,1
7931,1
3053,1
3094,1
7153,1
3054,1
3014,1
3834,1
3875,1
3425,1
3057,1
3098,1
3836,1
3837,1
3059,1
3019,1
3429,1
17491,1
490,28
8291,1
4970,1
450,36
491,22
860,9
4151,1
140356,1
8620,1
410,43
451,30
492,22
820,3
861,6
4111,1
411,42
452,38
493,24
821,7
862,4
4563,1
412,45
453,24
494,19
822,5
863,10
8213,1
413,40
454,32
495,26
823,6
864,4
4565,1
414,48
455,24
496,27
824,8
865,4
4197,1
17008,1
415,40
456,31
497,24
825,5
866,5
4977,1
416,42
457,28
498,25
826,10
867,4
417,41
458,32
499,24
827,4
868,6
418,50
459,29
828,9
869,6
419,39
829,4
20344,1
1190,1
1150,2
1191,1
1560,1
5250,1
10353,1
9350,1
1110,4
1151,3
1192,1
1520,2
1561,1
1930,1
1971,2
1152,3
1193,2
1521,1
1562,2
1112,3
1153,5
1194,1
1522,3
1563,3
1973,1
5663,1
1113,4
1154,1
1195,3
1523,1
1933,1
1974,1
1114,3
1155,2
1196,3
1524,1
1565,1
1975,2
10768,1
5296,1
1115,1
1156,3
1197,4
1525,1
1566,2
1935,1
1116,3
1157,2
1198,3
1526,1
1977,2
1117,3
1158,5
1199,1
1568,2
1937,1
1978,1
83667,1
1118,2
1159,3
1528,1
1569,1
1938,1
1979,2
1119,2
1529,2
1939,1
5219,1
2290,2
2291,1
2210,1
2251,1
2292,1
2620,1
2211,2
2293,3
2621,1
2662,1
6311,1
2253,1
2294,1
2622,1
2213,1
2254,1
2623,1
2624,1
6355,1
11458,1
2215,1
2297,1
2666,1
2216,2
2257,2
2298,1
6767,1
2217,2
2299,1
2627,1
2668,1
6727,1
2218,1
2259,1
2628,1
2669,1
3390,1
3391,1
7860,1
3352,2
3393,1
3721,1
3763,1
3396,1
3724,1
3315,1
3398,1
3358,1
3768,1
3318,1
3728,1
3769,1
7049,1
3729,1
380,54
790,7
8140,1
4491,1
340,77
381,47
750,7
791,8
4041,1
8100,1
4492,1
300,3
341,83
382,60
710,12
751,8
792,7
4001,1
4862,1
342,65
383,59
711,9
752,9
793,6
82001,1
8922,1
302,1
343,77
384,55
712,11
753,8
794,3
4413,1
303,1
344,71
385,54
713,8
754,7
795,7
4045,1
4086,1
4824,1
304,1
345,83
386,35
714,12
755,10
796,3
4456,1
305,1
346,73
387,52
715,8
756,9
797,9
306,1
347,75
388,47
716,9
757,6
798,6
4089,1
348,72
389,54
717,7
758,12
799,5
4049,1
4459,1
4828,1
308,3
349,69
718,6
759,7
309,1
719,7
206475,1
1080,4
1490,2
1040,3
1081,3
1491,1
1860,1
1000,2
1041,5
1082,4
1410,3
1451,2
1492,4
1820,1
1861,1
1001,4
1042,2
1083,3
1411,1
1452,1
1493,3
1821,3
1862,1
10245,1
1002,7
1043,3
1084,4
1412,2
1453,2
1494,2
1863,1
1003,5
1044,5
1085,1
1413,2
1454,4
1495,2
1823,1
1004,4
1045,4
1086,9
1455,1
1824,1
1865,1
5965,1
1005,4
1046,5
1087,2
1415,1
1456,1
1497,1
1825,2
1866,2
1006,3
1047,4
1088,3
1416,2
1457,1
1498,2
5598,1
1007,4
1048,3
1089,2
1417,2
1458,1
1499,2
1827,1
1868,1
9617,1
5558,1
1008,3
1049,3
1418,3
1459,5
1869,1
1009,3
1419,1
1829,1
52819,1
2180,1
2590,1
2550,1
2960,1
2141,2
2182,1
2510,1
2551,1
2592,1
2920,1
2961,1
2101,2
6201,1
2143,2
2184,1
2594,1
2144,1
2185,1
2513,1
2554,1
2145,1
2514,1
2555,1
2965,1
2146,1
2187,1
2515,1
2556,2
2597,1
2925,1
2966,1
2106,2
2147,1
2188,1
2516,1
2557,1
2107,2
2148,2
2189,2
2108,1
2149,2
2518,2
2559,2
2969,1
2109,1
2519,1
2929,1
3610,1
3692,1
3201,2
3242,1
3283,1
3243,1
7795,1
3245,1
3286,1
12899,1
7345,1
3206,1
3288,1
16509,1
3248,1
3208,1
3249,2
3618,1
3659,2
7759,1
3209,1
270,1
680,11
230,1
271,3
640,11
681,7
4382,1
231,2
272,1
600,15
641,9
682,9
273,1
601,13
642,10
683,11
8484,1
233,3
274,2
602,17
643,14
684,9
4713,1
275,1
603,13
644,8
685,11
4714,1
276,2
604,12
645,11
686,10
236,1
605,15
646,12
687,8
4306,1
237,1
278,8
606,12
647,15
688,13
4389,1
238,2
279,18
607,18
648,14
689,11
8039,1
608,17
649,11
609,16
28365,1
55337,1
1380,3
1790,1
1340,3
1381,2
1750,1
1791,1
10502,1
1300,1
1341,3
1382,1
1792,2
5031,1
5851,1
1301,4
1342,2
1383,2
1711,1
1793,1
9173,1
5442,1
1302,4
1343,1
1384,2
1712,1
1753,3
1794,2
14236,1
10997,1
1303,2
1344,1
1385,2
1754,2
1795,1
1304,1
1345,1
