CE11,CE12,PL1,GT3,GT4,GT41,GT101,GH3,GH5,GH9,GH10,GH20,GH32,GH39,GH42,GH43,GH59,GH78,GH84,GH106,GH115
3.5.1.108,3.1.1.72,4.2.2.2,2.4.1.11,2.4.1.13,2.4.1.255,2.4.1.-,3.2.1.21,3.2.1.4,3.2.1.4,3.2.1.4,3.2.1.52,2.4.1.10,3.2.1.21,3.2.1.23,3.2.1.8,3.2.1.23,3.2.1.40,3.2.1.35,3.2.1.40,3.2.1.131
,3.1.1.-,4.2.2.9,,2.4.1.14,2.4.1.-,,3.2.1.37,3.2.1.8,3.2.1.6,3.2.1.8,3.2.1.140,2.4.1.99,3.2.1.23,3.2.1.-,3.2.1.37,3.2.1.46,3.2.1.174,3.2.1.52,3.2.1.174,3.2.1.-
,,4.2.2.10,,2.4.1.52,,,3.2.1.45,3.2.1.21,3.2.1.21,3.2.1.32,3.2.1.-,2.4.1.100,3.2.1.37,,3.2.1.55,,3.2.1.-,3.2.1.169,,
,,,,2.4.1.56,,,3.2.1.52,3.2.1.25,3.2.1.73,2.4.2.-,,2.4.1.243,3.2.1.55,,3.2.1.99,,,,,
,,,,2.4.1.57,,,3.2.1.55,3.2.1.39,3.2.1.74,3.2.1.-,,3.2.1.7,3.2.1.76,,3.2.1.145,,,,,
,,,,2.4.1.132,,,3.2.1.74,3.2.1.45,3.2.1.91,,,3.2.1.26,,,3.2.1.146,,,,,
,,,,2.4.1.141,,,3.2.1.120,3.2.1.46,3.2.1.151,,,3.2.1.64,,,3.2.1.-,,,,,
,,,,2.4.1.157,,,3.2.1.126,3.2.1.52,3.2.1.165,,,3.2.1.65,,,,,,,,
,,,,2.4.1.208,,,3.2.1.155,3.2.1.55,3.2.1.-,,,3.2.1.80,,,,,,,,
,,,,2.4.1.231,,,2.4.1.-,3.2.1.58,,,,3.2.1.153,,,,,,,,
,,,,2.4.1.245,,,3.2.1.-,3.2.1.73,,,,3.2.1.154,,,,,,,,
,,,,2.4.1.257,,,,3.2.1.74,,,,2.4.1.-,,,,,,,,
,,,,2.4.1.283,,,,3.2.1.75,,,,,,,,,,,,
,,,,2.4.1.285,,,,3.2.1.78,,,,,,,,,,,,
,,,,2.4.1.290,,,,3.2.1.91,,,,,,,,,,,,
,,,,2.4.1.306,,,,3.2.1.104,,,,,,,,,,,,
,,,,2.4.1.342,,,,3.2.1.123,,,,,,,,,,,,
,,,,2.4.2.-,,,,3.2.1.132,,,,,,,,,,,,
,,,,,,,,3.2.1.146,,,,,,,,,,,,
,,,,,,,,3.2.1.149,,,,,,,,,,,,
,,,,,,,,3.2.1.151,,,,,,,,,,,,
,,,,,,,,3.2.1.164,,,,,,,,,,,,
,,,,,,,,2.4.1.-,,,,,,,,,,,,
,,,,,,,,3.2.1.-,,,,,,,,,,,,
