,Class,Family
PL22,PL,PL22
GT41,GT,GT41
GH109,GH,GH109
GH13,GH,GH13
GT51,GT,GT51
GH33,GH,GH33
CE3,CE,CE3
CE10,CE,CE10
GH20,GH,GH20
CE7,CE,CE7
GT2,GT,GT2
GT4,GT,GT4
GT101,GT,GT101
CBM16,CB,CBM16
GT19,GT,GT19
GH2,GH,GH2
CBM9,CB,CBM9
GH125,GH,GH125
GH63,GH,GH63
GH92,GH,GH92
GH29,GH,GH29
GH76,GH,GH76
CE9,CE,CE9
AA3,AA,AA3
PL8,PL,PL8
GH16,GH,GH16
GH73,GH,GH73
GH27,GH,GH27
GT56,GT,GT56
GH3,GH,GH3
GH31,GH,GH31
GT11,GT,GT11
GT8,GT,GT8
GT32,GT,GT32
PL1,PL,PL1
GH32,GH,GH32
GH28,GH,GH28
GH43,GH,GH43
GT9,GT,GT9
GH53,GH,GH53
GH74,GH,GH74
AA6,AA,AA6
GT13,GT,GT13
GT23,GT,GT23
GH140,GH,GH140
CBM67,CB,CBM67
GT28,GT,GT28
GT30,GT,GT30
GH97,GH,GH97
PL11,PL,PL11
GH5,GH,GH5
GH94,GH,GH94
CBM50,CB,CBM50
GH51,GH,GH51
GH95,GH,GH95
GT83,GT,GT83
GH156,GH,GH156
GH36,GH,GH36
GH65,GH,GH65
GH141,GH,GH141
GH23,GH,GH23
GT1,GT,GT1
CBM62,CB,CBM62
CE14,CE,CE14
CBM32,CB,CBM32
GH25,GH,GH25
GH120,GH,GH120
GH130,GH,GH130
CBM51,CB,CBM51
GH38,GH,GH38
GH78,GH,GH78
GH123,GH,GH123
GH30,GH,GH30
GH142,GH,GH142
GH18,GH,GH18
GT10,GT,GT10
GH159,GH,GH159
GH77,GH,GH77
GH35,GH,GH35
GH4,GH,GH4
GH115,GH,GH115
GH89,GH,GH89
GT94,GT,GT94
CBM6,CB,CBM6
GH26,GH,GH26
CE1,CE,CE1
CE11,CE,CE11
GH110,GH,GH110
GH24,GH,GH24
CE4,CE,CE4
GH133,GH,GH133
GH57,GH,GH57
GT5,GT,GT5
GT7,GT,GT7
GH127,GH,GH127
PL27,PL,PL27
GH144,GH,GH144
GT35,GT,GT35
GT3,GT,GT3
CBM40,CB,CBM40
PL10,PL,PL10
CBM44,CB,CBM44
GH146,GH,GH146
GH151,GH,GH151
CE6,CE,CE6
CBM66,CB,CBM66
CE2,CE,CE2
GH84,GH,GH84
AA5,AA,AA5
GT27,GT,GT27
CE8,CE,CE8
GH105,GH,GH105
GT90,GT,GT90
GH163,GH,GH163
GH143,GH,GH143
GH138,GH,GH138
GH137,GH,GH137
CBM38,CB,CBM38
CBM4,CB,CBM4
PL33,PL,PL33
GH88,GH,GH88
GH154,GH,GH154
GT20,GT,GT20
GH15,GH,GH15
GH1,GH,GH1
GH42,GH,GH42
GH129,GH,GH129
GH79,GH,GH79
GT26,GT,GT26
CBM5,CB,CBM5
PL12,PL,PL12
AA4,AA,AA4
GT39,GT,GT39
GH99,GH,GH99
GH116,GH,GH116
GH93,GH,GH93
PL29,PL,PL29
PL26,PL,PL26
CBM56,CB,CBM56
PL9,PL,PL9
CE12,CE,CE12
GH106,GH,GH106
GH66,GH,GH66
CBM69,CB,CBM69
GH67,GH,GH67
GH10,GH,GH10
GH39,GH,GH39
CE15,CE,CE15
GT14,GT,GT14
GT46,GT,GT46
GH139,GH,GH139
PL15,PL,PL15
GH147,GH,GH147
PL13,PL,PL13
CBM72,CB,CBM72
GH145,GH,GH145
GH136,GH,GH136
GH75,GH,GH75
GT25,GT,GT25
PL17,PL,PL17
CBM37,CB,CBM37
GT82,GT,GT82
GH37,GH,GH37
GT21,GT,GT21
GH108,GH,GH108
GH103,GH,GH103
PL34,PL,PL34
PL6,PL,PL6
GT73,GT,GT73
GH101,GH,GH101
CBM47,CB,CBM47
GH55,GH,GH55
GH8,GH,GH8
GH112,GH,GH112
GH59,GH,GH59
CBM77,CB,CBM77
GH50,GH,GH50
CBM35,CB,CBM35
PL37,PL,PL37
GH164,GH,GH164
CBM61,CB,CBM61
GH9,GH,GH9
AA8,AA,AA8
PL35,PL,PL35
AA7,AA,AA7
CBM20,CB,CBM20
GT87,GT,GT87
GH85,GH,GH85
GT31,GT,GT31
GH119,GH,GH119
GH158,GH,GH158
CBM13,CB,CBM13
PL32,PL,PL32
GH91,GH,GH91
GT45,GT,GT45
GT95,GT,GT95
GH117,GH,GH117
PL30,PL,PL30
CBM12,CB,CBM12
GT107,GT,GT107
GH128,GH,GH128
GT80,GT,GT80
GT22,GT,GT22
GT92,GT,GT92
GH47,GH,GH47
GH98,GH,GH98
GH107,GH,GH107
GH121,GH,GH121
GT99,GT,GT99
PL21,PL,PL21
GH49,GH,GH49
CBM57,CB,CBM57
PL4,PL,PL4
GH82,GH,GH82
GH14,GH,GH14
GH165,GH,GH165
CBM48,CB,CBM48
AA1,AA,AA1
GT6,GT,GT6
GT66,GT,GT66
GT33,GT,GT33
PL5,PL,PL5
GT24,GT,GT24
CBM26,CB,CBM26
GT89,GT,GT89
PL31,PL,PL31
GT97,GT,GT97
GH150,GH,GH150
GT76,GT,GT76
GH70,GH,GH70
GT104,GT,GT104
GH19,GH,GH19
CBM46,CB,CBM46
CBM34,CB,CBM34
GH87,GH,GH87
CBM58,CB,CBM58
CBM14,CB,CBM14
GT37,GT,GT37
CBM2,CB,CBM2
CBM30,CB,CBM30
CBM22,CB,CBM22
CBM23,CB,CBM23
GH81,GH,GH81
GT102,GT,GT102
GH102,GH,GH102
GT17,GT,GT17
GH113,GH,GH113
CBM27,CB,CBM27
GH161,GH,GH161
GT40,GT,GT40
CBM11,CB,CBM11
CBM25,CB,CBM25
PL25,PL,PL25
CBM42,CB,CBM42
CBM39,CB,CBM39
GT12,GT,GT12
CBM65,CB,CBM65
GH44,GH,GH44
