fam.names,LvlOne,LvlTwo
CBM11,Carbohydrate-Binding Module,CBM11
CBM12,Carbohydrate-Binding Module,CBM12
CBM13,Carbohydrate-Binding Module,CBM13
CBM14,Carbohydrate-Binding Module,CBM14
CBM16,Carbohydrate-Binding Module,CBM16
CBM2,Carbohydrate-Binding Module,CBM2
CBM20,Carbohydrate-Binding Module,CBM20
CBM22,Carbohydrate-Binding Module,CBM22
CBM23,Carbohydrate-Binding Module,CBM23
CBM25,Carbohydrate-Binding Module,CBM25
CBM26,Carbohydrate-Binding Module,CBM26
CBM27,Carbohydrate-Binding Module,CBM27
CBM28,Carbohydrate-Binding Module,CBM28
CBM3,Carbohydrate-Binding Module,CBM3
CBM30,Carbohydrate-Binding Module,CBM30
CBM32,Carbohydrate-Binding Module,CBM32
CBM34,Carbohydrate-Binding Module,CBM34
CBM35,Carbohydrate-Binding Module,CBM35
CBM36,Carbohydrate-Binding Module,CBM36
CBM37,Carbohydrate-Binding Module,CBM37
CBM38,Carbohydrate-Binding Module,CBM38
CBM39,Carbohydrate-Binding Module,CBM39
CBM4,Carbohydrate-Binding Module,CBM4
CBM40,Carbohydrate-Binding Module,CBM40
CBM41,Carbohydrate-Binding Module,CBM41
CBM42,Carbohydrate-Binding Module,CBM42
CBM44,Carbohydrate-Binding Module,CBM44
CBM46,Carbohydrate-Binding Module,CBM46
CBM47,Carbohydrate-Binding Module,CBM47
CBM48,Carbohydrate-Binding Module,CBM48
CBM49,Carbohydrate-Binding Module,CBM49
CBM5,Carbohydrate-Binding Module,CBM5
CBM50,Carbohydrate-Binding Module,CBM50
CBM51,Carbohydrate-Binding Module,CBM51
CBM53,Carbohydrate-Binding Module,CBM53
CBM54,Carbohydrate-Binding Module,CBM54
CBM56,Carbohydrate-Binding Module,CBM56
CBM57,Carbohydrate-Binding Module,CBM57
CBM58,Carbohydrate-Binding Module,CBM58
CBM6,Carbohydrate-Binding Module,CBM6
CBM61,Carbohydrate-Binding Module,CBM61
CBM62,Carbohydrate-Binding Module,CBM62
CBM63,Carbohydrate-Binding Module,CBM63
CBM64,Carbohydrate-Binding Module,CBM64
CBM65,Carbohydrate-Binding Module,CBM65
CBM66,Carbohydrate-Binding Module,CBM66
CBM67,Carbohydrate-Binding Module,CBM67
CBM68,Carbohydrate-Binding Module,CBM68
CBM69,Carbohydrate-Binding Module,CBM69
