,Season,Sex,Diet
3715,Summer,Female,Feeding
3717,Summer,Female,Feeding
3723,Winter,Male,Fasting
3733,Winter,Female,Fasting
3734,Spring,Male,Feeding
3744,Summer,Male,Feeding
3772,Winter,Male,Fasting
3773,Spring,Female,Feeding
3775,Spring,Male,Feeding
