,3715_idba,3715_spades,3717_idba,3717_spades,3723_idba,3723_spades,3733_idba,3733_spades,3734_idba,3734_spades,3744_idba,3744_spades,3772_idba,3772_spades,3773_idba,3773_spades,3775_idba,3775_spades
AA,3.194512494,3.038852168,3.643925756,3.418547865,4.12777599,3.647548624,4.291236097,3.654247392,3.529808341,2.93658675,3.524759285,3.312201397,4.727824767,4.057766266,3.816891503,3.245673185,4.286843145,3.912483912
CBM,5.320921117,5.33612768,5.419330809,5.381970399,5.407145156,5.387435531,5.513922852,5.317436662,5.802754503,5.763228827,5.908986703,5.760749724,5.931468228,5.808021348,5.351320248,5.619240279,5.544580535,5.678249678
CE,10.75943165,10.27728518,11.29182445,10.94832312,11.1039588,10.6940906,11.85611738,11.5052161,11.0998748,10.60079444,11.74919762,11.28261669,11.20147473,11.0901813,11.16936257,10.65857496,12.77492427,12.06177606
GH,46.77119059,48.38787683,43.13737662,45.65206558,42.00997747,43.88243336,40.99550367,43.3681073,45.33371858,47.07050645,45.2086199,47.3631018,40.15397961,43.52091673,47.40106131,49.39087435,47.39233505,49.05019305
GT,29.94610485,28.84894406,32.80153951,30.67723128,31.01062118,29.83284658,33.57261182,31.6661699,28.43590484,27.28401192,29.00045851,27.67364939,33.22489699,30.85315124,28.03529186,26.62171274,25.53009351,24.94208494
PL,3.919647232,3.877156215,3.159724378,2.945133802,2.494367557,2.323991798,2.177171255,2.128166915,2.147741501,2.131508015,3.203805594,2.816060272,2.569941444,2.503728122,2.998529506,2.91301416,2.416699592,2.172458172
SLH,0.088192063,0.233757859,0.546278478,0.976727961,3.846153846,4.231653514,1.593436933,2.360655738,3.650197438,4.213363598,1.404172398,1.791620728,2.190414227,2.166234989,1.227542996,1.550910317,2.054523904,2.182754183
