,count
CE10,288
GH43,378
GH1,258
CE4,246
GH3,431
GH120,16
GH42,72
CE1,389
GH13,527
GH31,174
GH50,5
GH5,18
GH112,44
GH109,319
GH33,57
GH57,32
CE11,32
GH20,115
GH76,57
PL10,8
GH2,648
GH53,30
GH130,86
GH29,109
CBM9,13
GH18,112
GH85,10
GH38,57
CE7,150
CE3,151
CBM4,14
GH94,114
CBM50,234
GH27,26
GH95,136
GH36,220
GH28,125
GH79,29
GH88,72
GH129,14
GH140,23
GH78,236
CE2,43
GH110,29
GH123,32
CBM35,24
GH32,149
GH35,60
PL11,42
GH23,83
CBM66,27
GH133,36
CBM40,27
CBM61,10
GH77,158
CE9,448
PL17,3
GH25,138
CE12,40
GH105,117
GH93,6
GH91,7
GH63,17
GH30,48
CBM56,11
GH43,31
GH115,43
GH26,34
GH5,8
CBM16,16
GH4,73
GH37,14
PL17,7
GH97,151
PL22,11
GH128,3
GH92,164
CBM62,19
CBM51,18
CBM32,120
CE6,49
GH73,97
GH84,13
GH5,40
GH39,45
CBM37,56
GH59,4
GH5,40
CBM13,31
GH127,97
GH74,18
CE8,47
GH75,2
PL26,11
PL12,27
GH65,42
GH106,109
GH51,120
CE14,40
GH113,3
CBM27,3
GH138,8
GH99,16
GH125,24
GH89,27
PL11,8
GH5,11
GH108,6
GH13,59
GH98,4
GH67,18
GH10,29
PL8,8
GH144,15
GH9,30
GH8,9
GH11,2
GH16,38
PL8,14
GH136,8
PL22,79
GH24,47
GH30,17
GH66,7
CBM44,10
CBM69,9
CBM47,2
GH126,1
PL1,6
PL8,11
CE15,14
CBM67,63
GH101,6
CBM72,4
PL1,36
PL9,7
GH139,8
GH141,19
PL4,1
GH5,2
PL1,1
GH44,1
GH143,7
PL12,11
GH121,7
GH124,5
PL4,6
GH145,8
PL15,6
CBM12,7
GH117,4
PL27,11
PL9,12
PL5,6
CBM77,3
GH137,4
GH5,1
PL13,3
GH55,16
CBM3,1
GH48,2
CBM2,10
PL15,1
PL6,1
GH47,1
PL6,3
CBM6,14
CBM57,6
CBM48,42
GH15,5
GH116,6
CBM78,1
CBM46,7
CBM25,2
CBM79,3
CBM20,10
GH19,4
CBM5,1
CBM34,13
CBM54,5
CBM26,10
GH82,1
GH142,3
PL4,1
CBM22,4
GH119,7
PL4,1
GH81,6
CBM58,2
CBM23,3
CBM42,1
GH64,1
GH5,2
PL10,2
GH70,1
GH72,1
GH87,1
