fam.names,count
CBM50,215
GH115,23
GH13,365
GH57,52
GH133,50
GH13,99
CBM40,15
GH130,57
GH77.,108
GH2,512
CE1,248
GH85,10
GH84,27
GH109,159
PL22.,96
GH33,64
CE10.,209
CE3,130
GH123,28
GH18,65
CBM32,118
CE4,172
GH20,147
GH29,102
GH141,18
GH117,7
GH97,171
GH92,147
GH23,103
GH105,87
CE8,42
PL1,27
GH106,62
GH28,99
CE12,28
GH42,30
PL11,39
PL26,5
PL9,6
GH43,248
CBM9,25
GH78,112
GH95,113
GH36,114
GH127,87
CBM51,12
CE9,250
GH3,282
GH27,21
GH76,64
CBM67,21
GH38,31
GH125,27
GH43,30
GH51,70
GH88,53
PL12,19
GH144,18
GH31,145
CE11,50
PL10,10
GH16,47
CE7,141
GH5,12
CE6,39
GH10,21
GH30,26
GH4,22
CE2,31
GH35,46
CBM62,20
GH37.,23
GH101,9
PL8,6
GH129,3
GH89,47
CBM16,12
GH53,32
GH25,70
CE14,42
PL8,7
CE15,3
GH112,17
GH75.,1
GH145,12
GH26,35
CBM72,6
GH110,28
GH120,6
CBM42,1
PL4,4
GH32,58
CBM47,1
GH5,35
GH73,65
GH24,58
GH94,82
CBM44,18
CBM20,18
GH30.,12
PL8,8
GH74,24
CBM6,13
CBM26,16
CBM56,20
PL15,3
PL12,11
PL13,4
PL5,5
GH8,7
CBM69,12
GH140,17
PL17,5
PL27,1
PL17,2
GH39,6
PL22,10
GH142,6
GH5,15
GH65,14
CBM61,4
PL6,3
CBM66,21
GH99,13
PL10,4
PL6,1
CBM35,17
GH139,14
GH137,4
GH138,7
GH113,1
GH1,45
CBM14,2
PL9,7
CBM4,7
CBM13,6
CBM37,11
GH46,3
GH67,9
GH143,8
GH50,1
GH5,19
GH102,7
GH55,14
GH5,1
GH108,11
GH63,12
GH9,17
CBM80,2
GH66,8
GH87,4
PL9,2
GH128,2
CBM12,4
GH103,7
GH81,2
CBM27,1
CBM48,26
PL4,1
CBM77,1
CBM54,5
CBM34,4
CBM70,1
GH119,8
CBM22,8
CBM74,2
CBM46,2
GH19,2
PL11,5
GH72,1
CBM57,3
GH121,4
GH93,3
PL21,1
PL4,2
CBM5,1
GH79,30
GH82,3
GH15.,6
CBM41,1
CBM23,2
PL1,2
GH136,5
CBM30,1
CBM2,4
GH5,1
GH91,1
GH98,1
GH116,1
