fam.names,count
GH105,169
CE8,89
GH29,120
PL9,17
GH5,36
CE11,39
GH28,204
CE7,200
CE1,371
CE12,115
GH35,79
GH95,174
GH43,535
GH51,156
GH13,766
CBM50,344
GH23,136
CE10,326
GH106,119
GH2,807
PL1,45
GH109,271
GH88,83
GH4,59
GH140,40
GH55,28
GH94,202
GH30,50
GH18,134
GH9,59
CE4,368
GH127,118
GH24,69
GH27,58
GH25,226
CE9,425
GH3,588
CE3,178
GH5,17
GH73,112
GH1,176
GH77,199
GH39,45
CE2,83
GH145,10
PL11,89
GH10,80
CE6,59
CBM56,29
GH31.,312
GH97,170
GH78,277
PL22,76
GH76,80
GH5,12
CBM72,9
GH26,64
GH5,110
GH130,119
GH36,251
GH13,112
GH20,116
GH8,22
GH115,73
GH133,66
GH42,106
CBM35,67
GH67,22
GH112,62
GH113,21
GH53,68
GH43,61
GH129,11
GH57,48
CBM62,14
CBM4.,31
GH98,4
CBM61,12
GH16,61
CBM44,11
CBM32,146
CBM67,71
PL27,3
GH92,119
GH136,16
CE14,50
GH5,28
CBM26,9
CBM37,77
,22
GH74,91
GH89,32
GH5,27
PL10,12
CBM42,1
PL26,30
GH110,29
GH84,16
CBM69,9
GH65,30
PL12,13
GH125,30
CBM51,14
GH33,63
GH32,183
CBM65,4
CBM40,31
CBM13,28
CBM27,7
GH38,47
CBM75,3
GH141,24
GH37,25
PL9,1
GH123,34
GH99,27
GH85,12
PL11,6
PL22,10
CBM16,12
GH63,20
GH75,2
GH59,15
CBM9,16
PL1,28
GH137,7
GH117,11
GH138,12
GH19,5
GH116,8
CBM41,6
CBM22,8
CBM2,19
CBM6,24
GH47,1
GH120,7
GH72.,1
GH128,6
GH81,2
PL14,1
GH119,13
CBM34,23
CBM20,26
PL6,7
GH15,5
GH143,8
GH82,6
PL5,2
GH44,3
GH139,9
CBM70,5
PL4,6
PL13,2
CBM66,28
PL8,10
PL8,6
PL10,5
PL8,3
GH17,3
CBM12,9
CE15,8
CBM79,3
GH144,14
CBM25,3
CBM54,17
GH101,5
CBM48,58
GH11,1
GH91,1
PL15,2
GH79,33
GH114,1
CE5,1
CBM63,2
PL6,2
GH108,9
GH30,11
GH93,4
GH142,6
PL4,4
GH5,1
PL17,4
CE13,1
CBM38,10
CBM5,1
GH70,3
CBM23,4
PL21,1
GH103,5
CBM57,5
GH66,16
CBM77,5
GH87,5
PL9,5
CBM46,5
GH64,1
GH5,2
PL9,2
PL4,1
CBM30,7
CBM36,1
GH50,4
PL14,1
GH124,1
PL16,1
GH102,2
CBM78,1
GH14,1
GH121,1
CBM74,2
GH49,1
PL2,2
CBM58,1
CBM68,1
