fam.names,count
GH105,154
CE8,115
GH29,118
PL9,27
GH5,34
CE11,62
GH28,198
CE7,183
CE1,352
CE12,103
GH35,76
GH95,167
GH43,492
GH51,157
GH13,519
CBM50,263
GH23,131
CE10,332
GH106,95
GH2,730
PL1,60
GH109,214
GH88,61
PL10,20
GH13,114
CE9,328
GH18,75
GH3,440
GH5,80
GH33,51
GH57,50
GH31,214
GH20,108
GH76,57
CE6,66
GH10,53
PL11,99
CE4,239
GH30,48
GH145,12
CE3,159
GH25,169
CBM35,48
GH26,81
GH127,122
GH32,117
GH77,147
CE2,62
GH5,11
GH16,65
GH5,20
CBM56,19
GH97,188
GH78,189
GH36,200
CBM62,22
GH67,24
CBM4,16
GH115,79
GH98,5
GH4,63
CBM37,65
GH65,26
GH73,95
GH37,17
GH110,31
CBM40,22
CBM51,14
CE14,47
CBM9,27
CBM65,8
GH44,7
GH94,159
GH133,64
PL27,4
CBM67,33
CBM61,24
GH92,132
CE15,11
GH53,67
PL4,1
GH24,78
GH89,34
GH42,70
GH75,2
GH38,43
PL22,102
GH27,59
GH74,53
CBM32,101
GH125,22
CBM26,31
GH59,9
GH128,6
PL22,10
PL8,7
PL12,23
GH5,13
PL12,11
PL15,3
PL13,4
GH66,13
CBM20,29
GH130,81
CBM54,7
CBM66,21
CBM42,2
CBM69,10
GH5,18
CBM2,11
GH84,17
GH43.,47
CBM13,48
GH141,24
PL26,19
GH123,23
GH9,64
GH1,113
CBM74,4
GH70,2
PL1,49
GH99,30
GH108,12
CBM72,9
CBM47,1
GH50,3
GH120,18
GH19,2
PL11,9
GH140,32
CBM22,18
GH39,54
GH139,13
GH82.,5
PL5,7
PL25,1
PL6,11
PL8,12
GH85,8
GH117,6
PL17,3
GH63,17
PL6,7
CBM12,9
GH113,13
CBM6,28
GH138,7
CBM27,6
GH112,29
GH30,24
CBM46,5
GH47,1
PL9,4
PL10,6
CBM16,15
PL4,9
GH137,5
GH55,25
GH126,2
GH15,5
PL8,5
GH143,7
GH144,13
CBM44,3
GH124,13
GH129,6
GH119,18
GH102,3
GH79,16
CBM80,1
PL9,1
GH103,5
GH8,18
CBM79,5
GH48,4
CBM25,5
GH93,2
CBM77,19
CBM48,38
PL4,4
CBM5,2
GH116,2
CBM63,1
CBM23,4
PL15,3
GH142,4
PL17,3
GH87,4
GH91,2
CBM34,14
CE13,1
GH114,1
GH101,3
CBM41,3
GH17,1
GH121,7
GH5,1
PL21,1
PL6,1
CBM38,7
CBM70,2
GH5,2
GH136,1
GH46,1
CBM57,4
GH81,4
CBM76,2
CBM75,4
CBM8,2
CBM30,4
PL1,1
PL3,1
CBM3,1
GH11,1
CBM78,1
CBM49,1
CBM58,2
GH100,1
