fam.names.3717,count
GH105,147
CE8,85
GH29,114
PL9,18
GH5,19
CE11,60
GH28,170
CE7,183
CE1,319
CE12,83
GH35,65
GH95,118
GH43,432
GH51,104
GH13,431
CBM50,257
GH23,137
CE10,273
GH106,81
GH2,625
PL1,58
GH109,219
GH31,224
GH97,159
PL11,67
CBM56,23
GH78,195
PL27,7
GH133,53
GH57,76
GH20,155
CE3,172
GH33,51
PL15,4
PL8,12
GH88,65
CE9,274
GH36,183
CBM9,24
CE14,43
GH120,10
GH3,400
GH25,118
CBM32,139
CBM62,31
GH141,20
GH16,50
GH13,117
GH65,26
GH32,89
GH18,86
GH43,59
GH77,145
GH92,140
GH5,48
GH94,86
CBM72,8
PL22,104
GH24,76
CE4,206
GH76,57
PL10,17
CE6,62
GH5,9
GH26,38
GH130,79
PL10,6
CBM20,24
CBM13,24
CBM61,16
CBM51,15
GH89,35
CBM35,33
GH42,50
GH27,41
GH127,103
CBM67,38
GH38,42
GH125,23
PL12,34
GH144,16
GH123,29
GH85,8
GH30,47
GH67,23
GH10,55
CBM4,15
GH115,60
GH98,4
GH4,52
GH102,6
GH73,100
GH84,22
CBM37,34
PL15,2
GH63,22
GH110,29
CBM77,2
GH108,26
GH15,6
PL1,14
CBM66,29
GH140,20
PL12,19
GH9,22
CBM40,25
GH1,88
PL26,22
CBM16,12
PL8,14
GH53,49
GH119,14
CBM11,1
GH128,5
GH103,9
CE15,13
PL13,5
GH5,11
GH74,31
GH75,2
CE2,47
GH39,32
GH116,3
GH99,34
CBM6,15
GH129,11
PL4,4
GH37,22
PL22,8
GH145,13
GH142,8
PL4,3
GH66,8
CBM69,6
GH91,2
PL6,11
PL5,4
GH101,9
PL8,5
GH143,6
CBM42,1
PL25,2
GH8,12
PL17,4
PL17,5
PL11,5
CBM27,4
GH47,7
GH112,15
GH30,16
GH113,7
GH55,20
GH138,9
GH137,7
GH139,10
CBM44,11
CBM25,6
CBM26,11
GH19,3
GH93,8
CBM22,8
PL9,26
PL6,6
PL4,1
GH59,4
GH5,9
GH87,5
GH117,3
CBM39,1
CBM47,2
CBM12,7
CBM5,2
GH79,15
GH82,2
GH5,5
CBM38,2
GH44,1
CBM74,3
CBM65,1
GH121,3
CBM57,2
PL9,1
PL21,1
CBM48,35
GH136,3
GH50,4
CBM63,1
GH70,3
CBM75,1
CBM2,3
CBM46,3
CBM23,1
GH49,1
GH14,2
CBM34,6
CBM30,1
GH5,1
GH126,2
GH46,1
CBM58,2
GH124,2
CBM49,1
GH52,1
CBM14,1
