,count
GH25,131
GH43,439
CE9,297
GH94,136
,267
GH109,217
CE7,151
GH112,33
CE1,351
CBM50,222
CE4,193
CE14,33
CE3,133
GH36,187
GH20,115
CE2,45
CE12,81
GH105,159
GH2,712
GH51,163
GH28,175
PL1,47
GH13,512
GH24,50
CE11,55
GH77,156
GH57,41
GH133,39
GH3,455
GH33,51
GH31,270
GH76,41
PL10,17
GH18,75
GH88,66
PL12,27
GH43,63
GH99,32
GH1,104
GH130,65
CBM32,138
GH39,58
GH120,19
GH42,73
GH73,85
CE8,83
GH95,132
GH5,29
CE6,51
GH10,49
GH97,182
GH127,106
PL22,91
CBM4,17
CBM2,6
CBM37,39
GH29,144
GH63,15
GH110,28
GH13,83
GH4,61
GH32,100
GH78,183
CBM56,25
GH5,66
GH75,1
PL6,6
GH30,45
GH8,6
GH53,36
GH106,101
GH139,10
GH35,59
GH115,69
GH138,15
GH23,114
CBM51,10
GH26,46
GH89,41
CE15,13
GH125,24
CBM16,10
GH65,26
PL22,8
GH92,130
GH9,26
PL9,31
GH5,12
GH66,10
CBM35,35
GH38,48
GH16,48
GH141,27
GH98,2
GH140,29
CBM9,20
PL1,24
GH74,32
GH108,13
GH93,3
PL26,17
GH85,12
PL11,56
CBM61,12
GH5,5
GH27,37
GH137,7
GH117,12
GH119,17
GH123,32
GH55,25
PL5,5
CBM72,6
GH67,25
CBM69,9
GH84,17
CBM13,26
GH37,21
GH129,27
PL8,7
GH145,17
CBM62,23
GH143,9
PL12,13
GH50,5
GH30,12
GH15,4
PL17,5
PL15,3
GH113,3
GH52,1
GH5,19
GH144,11
GH5,3
CBM47,2
CBM40,27
CBM22,12
CBM12,11
GH59,2
GH79,16
CBM67,30
PL15,4
PL27,2
GH82,5
CBM66,22
CBM20,28
PL8,7
GH103,5
PL8,9
PL6,5
PL13,4
GH46,1
GH116,4
GH102,3
CBM6,15
CBM30,1
PL10,4
GH91,6
GH70,4
GH136,4
GH114,1
CBM34,13
PL9,12
GH19,12
CBM5,2
GH128,4
PL21,1
CBM75,1
CBM26,9
CBM46,5
GH142,2
CBM48,48
GH47,11
GH81,1
PL4,7
CBM58,1
CBM57,4
PL17,2
CBM38,6
PL9,3
PL11,4
GH14,12
CBM23,1
CBM77,3
GH5,2
CBM44,2
GH101,2
CBM41,2
CBM25,3
GH121,4
CBM54,2
PL4,1
CBM74,1
CBM28,1
PL18,1
PL4,1
GH72,1
GH44,4
PL1,1
CBM65,1
GH87,1
GH49,1
