fam.names,count
GH127,45
GH32,30
GH2,372
GH92,112
CE10,168
CBM50,154
GH20,139
GH110,30
GH28,71
GH140,12
CBM51,12
CBM66,19
GH33,57
GH57,41
GH31,101
CE11,49
GH76,31
PL10,5
GH13,238
GH109,146
GH29,106
GH95,86
GH36,74
GH77,83
CE9,173
GH3,175
GH18,42
GH30,20
PL22,8
CE1,193
CE7,111
PL22,74
GH16,47
GH144,14
GH43,133
CE4,116
GH78,74
GH38,22
GH130,33
GH4,21
CE2,19
CE3,98
GH37,14
GH85,14
PL12,20
GH73,68
GH84,30
CBM9,18
GH23,96
CBM67,20
GH75,1
GH27,29
CBM32,122
GH133,35
GH51,42
GH24,46
GH13,60
GH105,69
GH106,42
CE15,5
GH88,46
GH25,33
GH35,32
GH26,19
CE6,24
CE14,31
GH123,23
CBM44,10
PL9,8
CBM16,9
GH97,103
CBM13,10
PL4,6
GH125,16
GH89,34
GH43,19
CBM62,19
CBM47,4
GH128,4
GH30,13
PL17,2
PL8,8
GH5,7
CBM48,33
PL8,9
GH117,6
GH129,2
CBM6,8
GH138,6
GH137,4
GH139,10
PL1,17
CE8,30
GH115,14
CBM12,6
GH10,8
CBM4,5
GH143,6
GH141,12
CBM14,1
CBM35,14
PL8,5
GH65,21
CBM56,9
GH15,3
CE12,16
PL11,20
CBM40,19
GH63,12
GH99,8
PL26,6
GH42,10
CBM37,7
GH5,5
GH94,31
GH5,13
GH9,12
GH74,28
PL6,3
GH55,12
GH67,4
GH102,6
GH98,1
GH101,1
PL4,3
PL15,2
PL12,3
GH108,18
GH103,8
PL10,4
PL13,2
GH53,26
CBM80,2
GH120,3
GH112,3
GH46,2
CBM70,3
PL9,1
GH79,10
CBM26,7
CBM61,5
GH5,8
CBM53,1
PL15,1
CBM41,3
GH39,6
GH8,4
CBM72,3
PL9,3
CBM75,1
GH119,5
GH142,2
CBM20,13
GH66,5
CBM69,4
GH1,14
GH136,3
GH87,4
CBM57,3
GH19,1
PL1,2
GH121,2
PL5,2
PL21,1
CBM64,1
GH145,5
CBM54,1
GH5,2
PL6,1
CBM34,2
PL11,3
GH81,4
PL4,1
CBM22,3
CBM23,1
GH5,3
GH50,2
PL17,2
GH82,1
GH34,1
GH91,3
CBM74,1
GH44,1
CBM38,2
GH113,1
