fam.names,count
GH97,173
GH2,458
GH142,7
GH130,50
GH76,50
GH23,83
GH18,51
GH43,34
GH43,315
CBM32,110
GH29,83
GH20,131
GH3,236
GH77,83
GH92,147
GH35,46
GH38,25
GH24,51
CE4,95
CBM50,118
GH33,47
GH57,38
GH31,149
CE11,37
PL10,11
GH13,245
GH109,131
CE7,111
CE10,162
CE3,110
PL1,41
PL22,88
GH95,97
GH51,81
CBM72,6
GH5,23
GH94,32
GH16,32
PL11,52
CE2,30
CBM67,42
GH28,124
CBM16,4
CE9,168
GH84,16
CBM66,28
GH78,148
CE1,204
GH105,121
CE8,54
GH144,12
PL12,19
GH88,51
GH127,78
GH125,29
GH36,128
GH27,19
GH15,3
GH30,29
GH133,42
GH79,3
GH129,3
GH1,26
GH140,19
GH42,27
GH32,64
CBM62,25
CE14,29
GH123,25
GH110,17
PL27,5
GH25,56
GH141,20
CBM40,23
CBM51,7
CBM9,16
GH120,3
CE6,46
GH99,22
GH89,33
PL9,22
CE12,50
PL26,17
GH106,88
GH73,62
GH66,3
CBM69,6
CBM6,12
PL8,15
CE15,9
GH115,41
GH53,23
GH13,54
PL13,4
GH5,18
PL12,13
PL8,10
PL15,3
CBM4,12
GH145,13
GH26,19
GH136,5
GH4,22
GH75,1
GH5,9
PL17,4
CBM37,14
PL17,3
CBM56,11
GH63,14
PL8,6
GH10,35
GH30,12
GH74,22
PL22,7
GH65,20
GH37,13
GH116,4
GH143,4
GH138,8
GH137,6
GH139,8
GH108,7
PL6,7
CBM47,1
GH117,4
GH55,11
GH67,20
GH39,8
GH8,4
GH59,1
CBM44,6
PL9,15
GH9,11
GH93,5
CBM61,13
CBM5,3
CBM38,2
GH50,2
PL1,12
GH112,14
CBM13,23
CBM35,14
CBM20,20
GH91,1
GH5,4
CBM77,6
GH103,3
CBM48,14
GH5,13
PL11,3
GH101,7
GH85,6
GH128,7
CBM75,1
GH47,15
PL6,4
GH98,5
GH5,3
PL21,1
CBM12,2
PL4,5
PL10,3
GH82,4
GH14,6
GH19,1
CBM22,5
CBM26,2
PL5,1
PL4,1
PL4,1
PL4,1
CBM14,1
PL4,1
CBM57,1
PL1,1
GH70,1
GH121,2
CBM34,1
GH49,1
CBM46,1
GH119,1
CBM58,3
PL15,1
GH87,1
CBM2,1
CBM23,1
