,Season,Sex,SubSeason
3715,Summer,Female,Active
3717,Summer,Female,Active
3723,Winter,Male,Hibernation
3733,Winter,Female,Hibernation
3734,Spring,Male,Active
3744,Summer,Male,Active
3772,Winter,Male,Hibernation
3773,Spring,Female,Active
3775,Spring,Male,Active
