"","cog.uniq"
"1494","COG1858"
"1495","COG1859"
"1496","COG1861"
"1497","COG1862"
"1498","COG1863"
"1499","COG1864"
"1500","COG1865"
"1501","COG1866"
"1502","COG1867"
"1503","COG1868"
"1504","COG1869"
"1505","COG1872"
"1506","COG1873"
"1507","COG1874"
"1508","COG1875"
"1509","COG1876"
"1510","COG1877"
"1511","COG1878"
"1512","COG1879"
"1513","COG1881"
"1514","COG1882"
"1515","COG1883"
"1516","COG1884"
"1517","COG1886"
"1518","COG1887"
"1519","COG1889"
"1520","COG1890"
"1521","COG1893"
"1522","COG1894"
"1523","COG1895"
"1524","COG1896"
"1525","COG1897"
"1526","COG1898"
"1527","COG1899"
"1528","COG1900"
"1529","COG1902"
"1530","COG1903"
"1531","COG1904"
"1532","COG1905"
"1533","COG1908"
"1534","COG1910"
"1535","COG1912"
"1536","COG1914"
"1537","COG1915"
"1538","COG1916"
"1539","COG1917"
"1540","COG1918"
"1541","COG1921"
"1542","COG1922"
"1543","COG1923"
"1544","COG1924"
"1545","COG1925"
"1546","COG1928"
"1547","COG1929"
"1548","COG1930"
"1549","COG1932"
"1550","COG1934"
"1551","COG1936"
"1552","COG1937"
"1553","COG1939"
"1554","COG1940"
"1555","COG1942"
"1556","COG1943"
"1557","COG1944"
"1558","COG1945"
"1559","COG1947"
"1560","COG1948"
"1561","COG1949"
"1562","COG1950"
"1563","COG1951"
"1564","COG1952"
"1565","COG1953"
"1566","COG1954"
"1567","COG1956"
"1568","COG1957"
"1569","COG1958"
"1570","COG1959"
"1571","COG1960"
"1572","COG1961"
"1573","COG1963"
"1574","COG1964"
"1575","COG1966"
"1576","COG1968"
"1577","COG1969"
"1578","COG1970"
"1579","COG1971"
"1580","COG1972"
"1581","COG1974"
"1582","COG1975"
"1583","COG1976"
"1584","COG1977"
"1585","COG1979"
"1586","COG1982"
"1587","COG1983"
"1588","COG1984"
"1589","COG1985"
"1590","COG1987"
"1591","COG1988"
"1592","COG1989"
"1593","COG1990"
"1594","COG1994"
"1595","COG1995"
"1596","COG1997"
"1597","COG1998"
"1598","COG1999"
"1599","COG2001"
"1600","COG2002"
"1601","COG2003"
"1602","COG2004"
"1603","COG2005"
"1604","COG2006"
"1605","COG2007"
"1606","COG2008"
"1607","COG2009"
"1608","COG2010"
"1609","COG2011"
"1610","COG2013"
"1611","COG2015"
"1612","COG2017"
"1613","COG2019"
"1614","COG2020"
"1615","COG2021"
"1616","COG2022"
"1617","COG2025"
"1618","COG2026"
"1619","COG2027"
"1620","COG2029"
"1621","COG2030"
"1622","COG2031"
"1623","COG2032"
"1624","COG2033"
"1625","COG2035"
"1626","COG2036"
"1627","COG2038"
"1628","COG2039"
"1629","COG2040"
"1630","COG2041"
"1631","COG2043"
"1632","COG2045"
"1633","COG2048"
"1634","COG2049"
"1635","COG2050"
"1636","COG2052"
"1637","COG2055"
"1638","COG2056"
"1639","COG2057"
"1640","COG2058"
"1641","COG2059"
"1642","COG2060"
"1643","COG2061"
"1644","COG2063"
"1645","COG2065"
"1646","COG2066"
"1647","COG2067"
"1648","COG2068"
"1649","COG2069"
"1650","COG2070"
"1651","COG2071"
"1652","COG2073"
"1653","COG2074"
"1654","COG2075"
"1655","COG2076"
"1656","COG2077"
"1657","COG2078"
"1658","COG2079"
"1659","COG2080"
"1660","COG2081"
"1661","COG2082"
"1662","COG2084"
"1663","COG2086"
"1664","COG2087"
"1665","COG2088"
"1666","COG2089"
"1667","COG2091"
"1668","COG2094"
"1669","COG2095"
"1670","COG2096"
"1671","COG2097"
"1672","COG2099"
"1673","COG2101"
"1674","COG2102"
"1675","COG2103"
"1676","COG2104"
"1677","COG2105"
"1678","COG2107"
"1679","COG2108"
"1680","COG2109"
"1681","COG2110"
"1682","COG2111"
"1683","COG2112"
"1684","COG2113"
"1685","COG2114"
"1686","COG2115"
"1687","COG2116"
"1688","COG2120"
"1689","COG2121"
"1690","COG2123"
"1691","COG2125"
"1692","COG2126"
"1693","COG2127"
"1694","COG2128"
"1695","COG2129"
"1696","COG2131"
"1697","COG2135"
"1698","COG2136"
"1699","COG2137"
"1700","COG2138"
"1701","COG2139"
"1702","COG2140"
"1703","COG2143"
"1704","COG2145"
"1705","COG2146"
"1706","COG2147"
"1707","COG2148"
"1708","COG2149"
"1709","COG2151"
"1710","COG2152"
"1711","COG2153"
"1712","COG2155"
"1713","COG2156"
"1714","COG2158"
"1715","COG2159"
"1716","COG2160"
"1717","COG2161"
"1718","COG2163"
"1719","COG2165"
"1720","COG2166"
"1721","COG2169"
"1722","COG2171"
"1723","COG2172"
"1724","COG2173"
"1725","COG2176"
"1726","COG2177"
"1727","COG2179"
"1728","COG2181"
"1729","COG2182"
"1730","COG2183"
"1731","COG2184"
"1732","COG2185"
"1733","COG2186"
"1734","COG2188"
"1735","COG2189"
"1736","COG2190"
"1737","COG2191"
"1738","COG2193"
"1739","COG2194"
"1740","COG2195"
"1741","COG2197"
"1742","COG2198"
"1743","COG2199"
"1744","COG2200"
"1745","COG2201"
"1746","COG2202"
"1747","COG2203"
"1748","COG2204"
"1749","COG2205"
"1750","COG2206"
"1751","COG2207"
"1752","COG2208"
"1753","COG2209"
"1754","COG2210"
"1755","COG2211"
"1756","COG2212"
"1757","COG2213"
"1758","COG2216"
"1759","COG2217"
"1760","COG2220"
"1761","COG2221"
"1762","COG2222"
"1763","COG2223"
"1764","COG2226"
"1765","COG2227"
"1766","COG2229"
"1767","COG2230"
"1768","COG2233"
"1769","COG2234"
"1770","COG2235"
"1771","COG2236"
"1772","COG2238"
"1773","COG2239"
"1774","COG2240"
"1775","COG2241"
"1776","COG2242"
"1777","COG2243"
"1778","COG2244"
"1779","COG2246"
"1780","COG2249"
"1781","COG2250"
"1782","COG2252"
"1783","COG2253"
"1784","COG2255"
"1785","COG2256"
"1786","COG2258"
"1787","COG2259"
"1788","COG2261"
"1789","COG2262"
"1790","COG2263"
"1791","COG2264"
"1792","COG2265"
"1793","COG2266"
"1794","COG2267"
"1795","COG2268"
"1796","COG2270"
"1797","COG2271"
"1798","COG2272"
"1799","COG2273"
"1800","COG2274"
"1801","COG2301"
"1802","COG2302"
"1803","COG2303"
"1804","COG2304"
"1805","COG2307"
"1806","COG2308"
"1807","COG2309"
"1808","COG2310"
"1809","COG2311"
"1810","COG2312"
"1811","COG2313"
"1812","COG2314"
"1813","COG2315"
"1814","COG2316"
"1815","COG2317"
"1816","COG2319"
"1817","COG2320"
"1818","COG2321"
"1819","COG2323"
"1820","COG2326"
"1821","COG2327"
"1822","COG2331"
"1823","COG2332"
"1824","COG2333"
"1825","COG2334"
"1826","COG2335"
"1827","COG2336"
"1828","COG2337"
"1829","COG2339"
"1830","COG2340"
"1831","COG2344"
"1832","COG2350"
"1833","COG2351"
"1834","COG2355"
"1835","COG2356"
"1836","COG2357"
"1837","COG2358"
"1838","COG2360"
"1839","COG2361"
"1840","COG2362"
"1841","COG2364"
"1842","COG2365"
"1843","COG2367"
"1844","COG2368"
"1845","COG2369"
"1846","COG2371"
"1847","COG2373"
"1848","COG2374"
"1849","COG2376"
"1850","COG2377"
"1851","COG2378"
"1852","COG2379"
"1853","COG2382"
"1854","COG2384"
"1855","COG2385"
"1856","COG2386"
"1857","COG2388"
"1858","COG2390"
"1859","COG2401"
"1860","COG2404"
"1861","COG2405"
"1862","COG2406"
"1863","COG2407"
"1864","COG2409"
"1865","COG2413"
"1866","COG2414"
"1867","COG2421"
"1868","COG2423"
"1869","COG2425"
"1870","COG2426"
"1871","COG2431"
"1872","COG2440"
"1873","COG2442"
"1874","COG2452"
"1875","COG2453"
"1876","COG2454"
"1877","COG2456"
"1878","COG2501"
"1879","COG2502"
"1880","COG2508"
"1881","COG2509"
"1882","COG2510"
"1883","COG2512"
"1884","COG2513"
"1885","COG2514"
"1886","COG2515"
"1887","COG2518"
"1888","COG2519"
"1889","COG2524"
"1890","COG2602"
"1891","COG2603"
"1892","COG2605"
"1893","COG2606"
"1894","COG2607"
"1895","COG2608"
"1896","COG2610"
"1897","COG2703"
"1898","COG2704"
"1899","COG2706"
"1900","COG2715"
"1901","COG2716"
"1902","COG2720"
"1903","COG2721"
"1904","COG2723"
"1905","COG2730"
"1906","COG2731"
"1907","COG2732"
"1908","COG2738"
"1909","COG2739"
"1910","COG2740"
"1911","COG2746"
"1912","COG2747"
"1913","COG2755"
"1914","COG2759"
"1915","COG2761"
"1916","COG2768"
"1917","COG2771"
"1918","COG2801"
"1919","COG2804"
"1920","COG2805"
"1921","COG2807"
"1922","COG2812"
"1923","COG2814"
"1924","COG2815"
"1925","COG2816"
"1926","COG2818"
"1927","COG2819"
"1928","COG2820"
"1929","COG2821"
"1930","COG2823"
"1931","COG2825"
"1932","COG2826"
"1933","COG2827"
"1934","COG2828"
"1935","COG2829"
"1936","COG2830"
"1937","COG2831"
"1938","COG2832"
"1939","COG2834"
"1940","COG2835"
"1941","COG2837"
"1942","COG2839"
"1943","COG2840"
"1944","COG2842"
"1945","COG2843"
"1946","COG2844"
"1947","COG2845"
"1948","COG2846"
"1949","COG2848"
"1950","COG2849"
"1951","COG2851"
"1952","COG2852"
"1953","COG2853"
"1954","COG2854"
"1955","COG2855"
"1956","COG2856"
"1957","COG2859"
"1958","COG2860"
"1959","COG2861"
"1960","COG2863"
"1961","COG2864"
"1962","COG2865"
"1963","COG2866"
"1964","COG2868"
"1965","COG2869"
"1966","COG2870"
"1967","COG2871"
"1968","COG2872"
"1969","COG2873"
"1970","COG2875"
"1971","COG2876"
"1972","COG2877"
"1973","COG2878"
"1974","COG2881"
"1975","COG2884"
"1976","COG2885"
"1977","COG2887"
"1978","COG2890"
"1979","COG2891"
"1980","COG2893"
"1981","COG2894"
"1982","COG2895"
"1983","COG2896"
"1984","COG2899"
"1985","COG2900"
"1986","COG2904"
"1987","COG2905"
"1988","COG2908"
"1989","COG2909"
"1990","COG2910"
"1991","COG2911"
"1992","COG2913"
"1993","COG2914"
"1994","COG2916"
"1995","COG2918"
"1996","COG2919"
"1997","COG2920"
"1998","COG2921"
"1999","COG2925"
"2000","COG2929"
"2001","COG2932"
"2002","COG2933"
"2003","COG2935"
"2004","COG2936"
"2005","COG2940"
"2006","COG2942"
"2007","COG2943"
"2008","COG2944"
"2009","COG2945"
"2010","COG2946"
"2011","COG2947"
"2012","COG2948"
"2013","COG2949"
"2014","COG2951"
"2015","COG2954"
"2016","COG2956"
"2017","COG2957"
"2018","COG2958"
"2019","COG2961"
"2020","COG2962"
"2021","COG2963"
"2022","COG2964"
"2023","COG2965"
"2024","COG2966"
"2025","COG2967"
"2026","COG2968"
"2027","COG2971"
"2028","COG2972"
"2029","COG2974"
"2030","COG2975"
"2031","COG2976"
"2032","COG2977"
"2033","COG2978"
"2034","COG2979"
"2035","COG2980"
"2036","COG2982"
"2037","COG2984"
"2038","COG2985"
"2039","COG2986"
"2040","COG2987"
"2041","COG2989"
"2042","COG2996"
"2043","COG2998"
"2044","COG3004"
"2045","COG3005"
"2046","COG3007"
"2047","COG3008"
"2048","COG3009"
"2049","COG3010"
"2050","COG3011"
"2051","COG3012"
"2052","COG3014"
"2053","COG3015"
"2054","COG3016"
"2055","COG3021"
"2056","COG3022"
"2057","COG3023"
"2058","COG3024"
"2059","COG3027"
"2060","COG3028"
"2061","COG3033"
"2062","COG3034"
"2063","COG3039"
"2064","COG3040"
"2065","COG3041"
"2066","COG3043"
"2067","COG3044"
"2068","COG3048"
"2069","COG3049"
"2070","COG3051"
"2071","COG3052"
"2072","COG3053"
"2073","COG3055"
"2074","COG3058"
"2075","COG3059"
"2076","COG3063"
"2077","COG3064"
"2078","COG3069"
"2079","COG3070"
"2080","COG3071"
"2081","COG3075"
"2082","COG3077"
"2083","COG3081"
"2084","COG3083"
"2085","COG3086"
"2086","COG3087"
"2087","COG3088"
"2088","COG3090"
"2089","COG3093"
"2090","COG3096"
"2091","COG3103"
"2092","COG3104"
"2093","COG3107"
"2094","COG3108"
"2095","COG3111"
"2096","COG3114"
"2097","COG3118"
"2098","COG3119"
"2099","COG3123"
"2100","COG3127"
"2101","COG3129"
"2102","COG3131"
"2103","COG3133"
"2104","COG3142"
"2105","COG3143"
"2106","COG3148"
"2107","COG3150"
"2108","COG3152"
"2109","COG3153"
"2110","COG3158"
"2111","COG3164"
"2112","COG3169"
"2113","COG3172"
"2114","COG3173"
"2115","COG3174"
"2116","COG3176"
"2117","COG3177"
"2118","COG3178"
"2119","COG3179"
"2120","COG3180"
"2121","COG3181"
"2122","COG3182"
"2123","COG3183"
"2124","COG3184"
"2125","COG3185"
"2126","COG3187"
"2127","COG3189"
"2128","COG3191"
"2129","COG3192"
"2130","COG3193"
"2131","COG3194"
"2132","COG3199"
"2133","COG3201"
"2134","COG3202"
"2135","COG3203"
"2136","COG3206"
"2137","COG3208"
"2138","COG3209"
"2139","COG3212"
"2140","COG3214"
"2141","COG3221"
"2142","COG3222"
"2143","COG3225"
"2144","COG3226"
"2145","COG3233"
"2146","COG3236"
"2147","COG3238"
"2148","COG3242"
"2149","COG3246"
"2150","COG3247"
"2151","COG3250"
"2152","COG3254"
"2153","COG3260"
"2154","COG3261"
"2155","COG3263"
"2156","COG3264"
"2157","COG3265"
"2158","COG3267"
"2159","COG3270"
"2160","COG3274"
"2161","COG3275"
"2162","COG3276"
"2163","COG3277"
"2164","COG3279"
"2165","COG3283"
"2166","COG3284"
"2167","COG3285"
"2168","COG3288"
"2169","COG3290"
"2170","COG3291"
"2171","COG3292"
"2172","COG3293"
"2173","COG3294"
"2174","COG3295"
"2175","COG3296"
"2176","COG3299"
"2177","COG3301"
"2178","COG3302"
"2179","COG3303"
"2180","COG3304"
"2181","COG3306"
"2182","COG3307"
"2183","COG3309"
"2184","COG3311"
"2185","COG3314"
"2186","COG3315"
"2187","COG3316"
"2188","COG3318"
"2189","COG3319"
"2190","COG3321"
"2191","COG3323"
"2192","COG3324"
"2193","COG3325"
"2194","COG3326"
"2195","COG3328"
"2196","COG3331"
"2197","COG3333"
"2198","COG3334"
"2199","COG3335"
"2200","COG3339"
"2201","COG3340"
"2202","COG3341"
"2203","COG3343"
"2204","COG3344"
"2205","COG3345"
"2206","COG3355"
"2207","COG3359"
"2208","COG3363"
"2209","COG3366"
"2210","COG3369"
"2211","COG3370"
"2212","COG3378"
"2213","COG3379"
"2214","COG3381"
"2215","COG3382"
"2216","COG3383"
"2217","COG3385"
"2218","COG3386"
"2219","COG3387"
"2220","COG3391"
"2221","COG3392"
"2222","COG3393"
"2223","COG3394"
"2224","COG3395"
"2225","COG3398"
"2226","COG3401"
"2227","COG3402"
"2228","COG3404"
"2229","COG3405"
"2230","COG3407"
"2231","COG3408"
"2232","COG3409"
"2233","COG3410"
"2234","COG3411"
"2235","COG3412"
"2236","COG3415"
"2237","COG3417"
"2238","COG3420"
"2239","COG3421"
"2240","COG3425"
"2241","COG3426"
"2242","COG3427"
"2243","COG3428"
"2244","COG3436"
"2245","COG3437"
"2246","COG3439"
"2247","COG3440"
"2248","COG3442"
"2249","COG3444"
"2250","COG3448"
"2251","COG3449"
"2252","COG3451"
"2253","COG3456"
"2254","COG3457"
"2255","COG3458"
"2256","COG3459"
"2257","COG3464"
"2258","COG3467"
"2259","COG3468"
"2260","COG3471"
"2261","COG3472"
"2262","COG3475"
"2263","COG3476"
"2264","COG3477"
"2265","COG3481"
"2266","COG3487"
"2267","COG3488"
"2268","COG3489"
"2269","COG3493"
"2270","COG3494"
"2271","COG3497"
"2272","COG3498"
"2273","COG3499"
"2274","COG3500"
"2275","COG3501"
"2276","COG3503"
"2277","COG3504"
"2278","COG3505"
"2279","COG3506"
"2280","COG3507"
"2281","COG3509"
"2282","COG3512"
"2283","COG3513"
"2284","COG3514"
"2285","COG3525"
"2286","COG3528"
"2287","COG3530"
"2288","COG3531"
"2289","COG3533"
"2290","COG3534"
"2291","COG3535"
"2292","COG3536"
"2293","COG3537"
"2294","COG3538"
"2295","COG3541"
"2296","COG3543"
"2297","COG3544"
"2298","COG3546"
"2299","COG3547"
"2300","COG3549"
"2301","COG3550"
"2302","COG3557"
"2303","COG3560"
"2304","COG3561"
"2305","COG3563"
"2306","COG3566"
"2307","COG3567"
"2308","COG3568"
"2309","COG3572"
"2310","COG3573"
"2311","COG3577"
"2312","COG3579"
"2313","COG3580"
"2314","COG3581"
"2315","COG3583"
"2316","COG3584"
"2317","COG3585"
"2318","COG3586"
"2319","COG3587"
"2320","COG3589"
"2321","COG3590"
"2322","COG3591"
"2323","COG3592"
"2324","COG3593"
"2325","COG3594"
"2326","COG3595"
"2327","COG3596"
"2328","COG3598"
"2329","COG3599"
"2330","COG3600"
"2331","COG3601"
"2332","COG3603"
"2333","COG3604"
"2334","COG3607"
"2335","COG3608"
"2336","COG3609"
"2337","COG3610"
"2338","COG3611"
"2339","COG3613"
"2340","COG3616"
"2341","COG3617"
"2342","COG3618"
"2343","COG3619"
"2344","COG3620"
"2345","COG3622"
"2346","COG3628"
"2347","COG3629"
"2348","COG3630"
"2349","COG3633"
"2350","COG3634"
"2351","COG3635"
"2352","COG3636"
"2353","COG3637"
"2354","COG3638"
"2355","COG3640"
"2356","COG3641"
"2357","COG3642"
"2358","COG3643"
"2359","COG3645"
"2360","COG3646"
"2361","COG3649"
"2362","COG3653"
"2363","COG3654"
"2364","COG3655"
"2365","COG3657"
"2366","COG3659"
"2367","COG3660"
"2368","COG3661"
"2369","COG3663"
"2370","COG3664"
"2371","COG3666"
"2372","COG3668"
"2373","COG3669"
"2374","COG3671"
"2375","COG3672"
"2376","COG3677"
"2377","COG3678"
"2378","COG3680"
"2379","COG3681"
"2380","COG3682"
"2381","COG3685"
"2382","COG3688"
"2383","COG3689"
"2384","COG3693"
"2385","COG3694"
"2386","COG3695"
"2387","COG3696"
"2388","COG3698"
"2389","COG3701"
"2390","COG3705"
"2391","COG3706"
"2392","COG3707"
"2393","COG3708"
"2394","COG3710"
"2395","COG3711"
"2396","COG3712"
"2397","COG3715"
"2398","COG3716"
"2399","COG3717"
"2400","COG3718"
"2401","COG3719"
"2402","COG3721"
"2403","COG3723"
"2404","COG3727"
"2405","COG3728"
"2406","COG3730"
"2407","COG3731"
"2408","COG3732"
"2409","COG3735"
"2410","COG3736"
"2411","COG3738"
"2412","COG3740"
"2413","COG3744"
"2414","COG3746"
"2415","COG3747"
"2416","COG3752"
"2417","COG3754"
"2418","COG3755"
"2419","COG3757"
"2420","COG3758"
"2421","COG3760"
"2422","COG3762"
"2423","COG3763"
"2424","COG3764"
"2425","COG3765"
"2426","COG3772"
"2427","COG3773"
"2428","COG3774"
"2429","COG3775"
"2430","COG3778"
"2431","COG3786"
"2432","COG3787"
"2433","COG3797"
"2434","COG3804"
"2435","COG3808"
"2436","COG3809"
"2437","COG3815"
"2438","COG3821"
"2439","COG3822"
"2440","COG3823"
"2441","COG3825"
"2442","COG3828"
"2443","COG3829"
"2444","COG3830"
"2445","COG3831"
"2446","COG3832"
"2447","COG3833"
"2448","COG3835"
"2449","COG3836"
"2450","COG3837"
"2451","COG3838"
"2452","COG3839"
"2453","COG3842"
"2454","COG3843"
"2455","COG3844"
"2456","COG3845"
"2457","COG3846"
"2458","COG3848"
"2459","COG3850"
"2460","COG3852"
"2461","COG3853"
"2462","COG3854"
"2463","COG3855"
"2464","COG3857"
"2465","COG3858"
"2466","COG3859"
"2467","COG3862"
"2468","COG3863"
"2469","COG3864"
"2470","COG3866"
"2471","COG3867"
"2472","COG3869"
"2473","COG3870"
"2474","COG3871"
"2475","COG3872"
"2476","COG3874"
"2477","COG3875"
"2478","COG3876"
"2479","COG3877"
"2480","COG3878"
"2481","COG3880"
"2482","COG3882"
"2483","COG3883"
"2484","COG3884"
"2485","COG3885"
"2486","COG3887"
"2487","COG3893"
"2488","COG3894"
"2489","COG3896"
"2490","COG3897"
"2491","COG3899"
"2492","COG3905"
"2493","COG3907"
"2494","COG3910"
"2495","COG3914"
"2496","COG3919"
"2497","COG3924"
"2498","COG3926"
"2499","COG3933"
"2500","COG3934"
"2501","COG3935"
"2502","COG3937"
"2503","COG3938"
"2504","COG3940"
"2505","COG3941"
"2506","COG3943"
"2507","COG3944"
"2508","COG3947"
"2509","COG3948"
"2510","COG3949"
"2511","COG3950"
"2512","COG3952"
"2513","COG3955"
"2514","COG3956"
"2515","COG3957"
"2516","COG3958"
"2517","COG3959"
"2518","COG3961"
"2519","COG3962"
"2520","COG3963"
"2521","COG3968"
"2522","COG3969"
"2523","COG3972"
"2524","COG3973"
"2525","COG3976"
"2526","COG3977"
"2527","COG3980"
"2528","COG3981"
"2529","COG4021"
"2530","COG4032"
"2531","COG4043"
"2532","COG4076"
"2533","COG4086"
"2534","COG4087"
"2535","COG4088"
"2536","COG4091"
"2537","COG4095"
"2538","COG4096"
"2539","COG4099"
"2540","COG4100"
"2541","COG4103"
"2542","COG4104"
"2543","COG4105"
"2544","COG4106"
"2545","COG4108"
"2546","COG4109"
"2547","COG4110"
"2548","COG4111"
"2549","COG4112"
"2550","COG4113"
"2551","COG4115"
"2552","COG4118"
"2553","COG4120"
"2554","COG4121"
"2555","COG4122"
"2556","COG4123"
"2557","COG4124"
"2558","COG4126"
"2559","COG4127"
"2560","COG4129"
"2561","COG4133"
"2562","COG4137"
"2563","COG4145"
"2564","COG4146"
"2565","COG4147"
"2566","COG4148"
"2567","COG4149"
"2568","COG4152"
"2569","COG4154"
"2570","COG4166"
"2571","COG4172"
"2572","COG4175"
"2573","COG4176"
"2574","COG4177"
"2575","COG4178"
"2576","COG4185"
"2577","COG4186"
"2578","COG4187"
"2579","COG4188"
"2580","COG4189"
"2581","COG4191"
"2582","COG4193"
"2583","COG4194"
"2584","COG4198"
"2585","COG4200"
"2586","COG4206"
"2587","COG4209"
"2588","COG4211"
"2589","COG4213"
"2590","COG4214"
"2591","COG4219"
"2592","COG4221"
"2593","COG4222"
"2594","COG4224"
"2595","COG4225"
"2596","COG4226"
"2597","COG4227"
"2598","COG4228"
"2599","COG4229"
"2600","COG4231"
"2601","COG4232"
"2602","COG4233"
"2603","COG4235"
"2604","COG4237"
"2605","COG4239"
"2606","COG4243"
"2607","COG4245"
"2608","COG4248"
"2609","COG4249"
"2610","COG4252"
"2611","COG4257"
"2612","COG4258"
"2613","COG4260"
"2614","COG4261"
"2615","COG4268"
"2616","COG4271"
"2617","COG4277"
"2618","COG4279"
"2619","COG4281"
"2620","COG4283"
"2621","COG4284"
"2622","COG4285"
"2623","COG4289"
"2624","COG4290"
"2625","COG4295"
"2626","COG4296"
"2627","COG4299"
"2628","COG4306"
"2629","COG4314"
"2630","COG4319"
"2631","COG4332"
"2632","COG4354"
"2633","COG4360"
"2634","COG4372"
"2635","COG4373"
"2636","COG4377"
"2637","COG4379"
"2638","COG4380"
"2639","COG4381"
"2640","COG4383"
"2641","COG4384"
"2642","COG4385"
"2643","COG4386"
"2644","COG4387"
"2645","COG4388"
"2646","COG4392"
"2647","COG4394"
"2648","COG4395"
"2649","COG4396"
"2650","COG4399"
"2651","COG4401"
"2652","COG4403"
"2653","COG4405"
"2654","COG4409"
"2655","COG4412"
"2656","COG4413"
"2657","COG4416"
"2658","COG4421"
"2659","COG4422"
"2660","COG4430"
"2661","COG4448"
"2662","COG4452"
"2663","COG4453"
"2664","COG4457"
"2665","COG4458"
"2666","COG4464"
"2667","COG4465"
"2668","COG4466"
"2669","COG4468"
"2670","COG4469"
"2671","COG4472"
"2672","COG4474"
"2673","COG4475"
"2674","COG4478"
"2675","COG4481"
"2676","COG4485"
"2677","COG4487"
"2678","COG4492"
"2679","COG4496"
"2680","COG4502"
"2681","COG4506"
"2682","COG4508"
"2683","COG4509"
"2684","COG4512"
"2685","COG4518"
"2686","COG4531"
"2687","COG4535"
"2688","COG4536"
"2689","COG4540"
"2690","COG4542"
"2691","COG4545"
"2692","COG4547"
"2693","COG4548"
"2694","COG4552"
"2695","COG4564"
"2696","COG4565"
"2697","COG4566"
"2698","COG4570"
"2699","COG4573"
"2700","COG4575"
"2701","COG4576"
"2702","COG4577"
"2703","COG4578"
"2704","COG4581"
"2705","COG4582"
"2706","COG4584"
"2707","COG4585"
"2708","COG4586"
"2709","COG4587"
"2710","COG4589"
"2711","COG4591"
"2712","COG4597"
"2713","COG4603"
"2714","COG4608"
"2715","COG4618"
"2716","COG4623"
"2717","COG4624"
"2718","COG4625"
"2719","COG4626"
"2720","COG4630"
"2721","COG4631"
"2722","COG4632"
"2723","COG4633"
"2724","COG4634"
"2725","COG4635"
"2726","COG4636"
"2727","COG4637"
"2728","COG4639"
"2729","COG4640"
"2730","COG4641"
"2731","COG4642"
"2732","COG4643"
"2733","COG4646"
"2734","COG4648"
"2735","COG4651"
"2736","COG4653"
"2737","COG4656"
"2738","COG4657"
"2739","COG4658"
"2740","COG4659"
"2741","COG4660"
"2742","COG4663"
"2743","COG4664"
"2744","COG4665"
"2745","COG4666"
"2746","COG4667"
"2747","COG4668"
"2748","COG4669"
"2749","COG4670"
"2750","COG4671"
"2751","COG4675"
"2752","COG4676"
"2753","COG4677"
"2754","COG4679"
"2755","COG4680"
"2756","COG4683"
"2757","COG4684"
"2758","COG4687"
"2759","COG4690"
"2760","COG4692"
"2761","COG4693"
"2762","COG4694"
"2763","COG4695"
"2764","COG4696"
"2765","COG4700"
"2766","COG4702"
"2767","COG4704"
"2768","COG4706"
"2769","COG4708"
"2770","COG4709"
"2771","COG4710"
"2772","COG4712"
"2773","COG4713"
"2774","COG4715"
"2775","COG4717"
"2776","COG4720"
"2777","COG4722"
"2778","COG4724"
"2779","COG4725"
"2780","COG4728"
"2781","COG4729"
"2782","COG4731"
"2783","COG4732"
"2784","COG4733"
"2785","COG4734"
"2786","COG4735"
"2787","COG4737"
"2788","COG4739"
"2789","COG4742"
"2790","COG4744"
"2791","COG4747"
"2792","COG4748"
"2793","COG4750"
"2794","COG4753"
"2795","COG4758"
"2796","COG4760"
"2797","COG4767"
"2798","COG4768"
"2799","COG4769"
"2800","COG4770"
"2801","COG4771"
"2802","COG4772"
"2803","COG4775"
"2804","COG4779"
"2805","COG4783"
"2806","COG4784"
"2807","COG4785"
"2808","COG4786"
"2809","COG4789"
"2810","COG4790"
"2811","COG4791"
"2812","COG4794"
"2813","COG4795"
"2814","COG4799"
"2815","COG4802"
"2816","COG4803"
"2817","COG4804"
"2818","COG4805"
"2819","COG4806"
"2820","COG4810"
"2821","COG4813"
"2822","COG4816"
"2823","COG4818"
"2824","COG4820"
"2825","COG4821"
"2826","COG4822"
"2827","COG4823"
"2828","COG4824"
"2829","COG4826"
"2830","COG4828"
"2831","COG4830"
"2832","COG4832"
"2833","COG4833"
"2834","COG4834"
"2835","COG4842"
"2836","COG4845"
"2837","COG4849"
"2838","COG4856"
"2839","COG4857"
"2840","COG4859"
"2841","COG4861"
"2842","COG4862"
"2843","COG4864"
"2844","COG4866"
"2845","COG4868"
"2846","COG4869"
"2847","COG4870"
"2848","COG4877"
"2849","COG4878"
"2850","COG4880"
"2851","COG4884"
"2852","COG4886"
"2853","COG4887"
"2854","COG4889"
"2855","COG4894"
"2856","COG4898"
"2857","COG4901"
"2858","COG4905"
"2859","COG4908"
"2860","COG4909"
"2861","COG4910"
"2862","COG4912"
"2863","COG4913"
"2864","COG4917"
"2865","COG4922"
"2866","COG4923"
"2867","COG4925"
"2868","COG4926"
"2869","COG4927"
"2870","COG4928"
"2871","COG4929"
"2872","COG4930"
"2873","COG4932"
"2874","COG4933"
"2875","COG4936"
"2876","COG4938"
"2877","COG4939"
"2878","COG4942"
"2879","COG4946"
"2880","COG4947"
"2881","COG4948"
"2882","COG4951"
"2883","COG4952"
"2884","COG4953"
"2885","COG4957"
"2886","COG4959"
"2887","COG4960"
"2888","COG4962"
"2889","COG4965"
"2890","COG4968"
"2891","COG4969"
"2892","COG4970"
